,province,Diesel Usage,open pit Washing Cost automation & labour productivity low,open pit Washing Cost automation & labour productivity medium,open pit Washing Cost automation & labour productivity high,Water Consumption,Underground Washing Cost automation & labour productivity low,Underground Washing Cost automation & labour productivity medium,Underground Washing Cost automation & labour productivity high,Resouce tax,Other Fixed
81,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
82,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
83,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
84,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
85,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
86,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
87,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
88,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
89,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
90,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
91,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
92,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
93,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
94,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
95,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
96,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
97,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
98,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
99,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
100,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
101,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
102,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
103,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
104,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
105,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
106,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
107,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
108,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
109,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
110,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
111,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
112,Sichuan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
113,Yunnan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
