mine_id,Build Quality,Infrastructure Included,country_id,Location: Other,New Project or Expansion ?,Finance structure,Mining method,Project risks,Overall probability of success,Impact of new technologies
Mine_94,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_46,95 kilometres north of Weipa on western Cape York,New,"Company type:  independent private company (Metro Mining, with shareholders including Xinfa and DADI Engineering, Chinese engineering processing)
Funding Source: internally funded",Open Cut - Medium Scale,"Sovereign: Low
Economic: Low, avoiding a
number of significant costs traditionally associated
with production of a beneficiated bauxite product,
including reduced infrastructure costs and
significantly reduced water and energy.
In addition no tailings dams are required. 
Technical: Low
Comm./Env.: Med. Native title agreements must be negotiated",High,"The bauxite is planned to be hauled to the barge load out facility at the Skardon River, then transported by barge, approximately 10 km offshore where it will be transshipped into bulk carriers for export to overseas customers"
Mine_95,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_46,95 kilometres north of Weipa on western Cape York,New,"Company type:  independent private company (Metro Mining, with shareholders including Xinfa and DADI Engineering, Chinese engineering processing)
Funding Source: internally funded",Open Cut - Medium Scale,"Sovereign: Low
Economic: Low, avoiding a
number of significant costs traditionally associated
with production of a beneficiated bauxite product,
including reduced infrastructure costs and
significantly reduced water and energy.
In addition no tailings dams are required. 
Technical: Low
Comm./Env.: Med. Native title agreements must be negotiated",High,"The bauxite is planned to be hauled to the barge load out facility at the Skardon River, then transported by barge, approximately 10 km offshore where it will be transshipped into bulk carriers for export to overseas customers"
Mine_107,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_46,95 kilometres north of Weipa on western Cape York,New,"Company type:  independent private company (Metro Mining, with shareholders including Xinfa and DADI Engineering, Chinese engineering processing)
Funding Source: internally funded",Open Cut - Medium Scale,"Sovereign: Low
Economic: Low, avoiding a
number of significant costs traditionally associated
with production of a beneficiated bauxite product,
including reduced infrastructure costs and
significantly reduced water and energy.
In addition no tailings dams are required. 
Technical: Low
Comm./Env.: Med. Native title agreements must be negotiated",High,"The bauxite is planned to be hauled to the barge load out facility at the Skardon River, then transported by barge, approximately 10 km offshore where it will be transshipped into bulk carriers for export to overseas customers"
Mine_110,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_46,95 kilometres north of Weipa on western Cape York,New,Company type:  independent private company,Open Cut - Medium Scale,"Sovereign: Low
Economic: Low, avoiding a
number of significant costs traditionally associated
with production of a beneficiated bauxite product,
including reduced infrastructure costs and
significantly reduced water and energy.
In addition no tailings dams are required. 
Technical: Low
Comm./Env.: Med. Native title agreements must be negotiated",High,"The bauxite is planned to be hauled to the barge load out facility at the Skardon River, then transported by barge, approximately 10 km offshore where it will be transshipped into bulk carriers for export to overseas customers"
Mine_60,2. Intermediate,3. Mine+Roads/Rail+Port,country_46,Boffa,New,Company type: SOE,Open Cut - Large Scale,"Sovereign: High, but has government support
Economic: Med., high quality bauxite but poor infrastructure
Technical: Med.,
Comm./Env.: High, Ebola virus disease
Other: The financing progress is still limited",Med.,0
Mine_109,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_46,Boffa - Koniokhoure,New,Company type: SOE,Open Cut - Large Scale,"Sovereign: High, but has government support
Economic: Med., high quality bauxite but poor infrastructure
Technical: Med.,
Comm./Env.: High, Ebola virus disease
Other: The financing progress is still limited",Med.,0
Mine_153,2. Intermediate,3. Mine+Roads/Rail+Port,country_46,Boffa,New,Company type: SOE,Open Cut - Medium Scale,"Sovereign: High, but has government support
Economic: Med., high quality bauxite but poor infrastructure
Technical: Med.,
Comm./Env.: High, Ebola virus disease
Other: The financing progress is still limited",Med.,0
Mine_69,2. Intermediate,3. Mine+Roads/Rail+Port,country_17,95 kilometres north of Weipa on western Cape York,New,"Company type:  independent private company (Metro Mining, with shareholders including Xinfa and DADI Engineering, Chinese engineering processing)
Funding Source: internally funded",Open Cut - Medium Scale,"Sovereign: Low
Economic: Low, avoiding a
number of significant costs traditionally associated
with production of a beneficiated bauxite product,
including reduced infrastructure costs and
significantly reduced water and energy.
In addition no tailings dams are required. 
Technical: Low
Comm./Env.: Med. Native title agreements must be negotiated",High,"The bauxite is planned to be hauled to the barge load out facility at the Skardon River, then transported by barge, approximately 10 km offshore where it will be transshipped into bulk carriers for export to overseas customers"
Mine_71,2. Intermediate,3. Mine+Roads/Rail+Port,country_17,95 kilometres north of Weipa on western Cape York,New,"Company type:  independent private company (Metro Mining, with shareholders including Xinfa and DADI Engineering, Chinese engineering processing)
Funding Source: internally funded",Open Cut - Medium Scale,"Sovereign: Low
Economic: Low, avoiding a
number of significant costs traditionally associated
with production of a beneficiated bauxite product,
including reduced infrastructure costs and
significantly reduced water and energy.
In addition no tailings dams are required. 
Technical: Low
Comm./Env.: Med. Native title agreements must be negotiated",High,"The bauxite is planned to be hauled to the barge load out facility at the Skardon River, then transported by barge, approximately 10 km offshore where it will be transshipped into bulk carriers for export to overseas customers"
Mine_70,2. Intermediate,3. Mine+Roads/Rail+Port,country_17,95 kilometres north of Weipa on western Cape York,New,Company type:  independent private company,Open Cut - Medium Scale,"Sovereign: Low
Economic: Low, avoiding a
number of significant costs traditionally associated
with production of a beneficiated bauxite product,
including reduced infrastructure costs and
significantly reduced water and energy.
In addition no tailings dams are required. 
Technical: Low
Comm./Env.: Med. Native title agreements must be negotiated",High,"The bauxite is planned to be hauled to the barge load out facility at the Skardon River, then transported by barge, approximately 10 km offshore where it will be transshipped into bulk carriers for export to overseas customers"
Mine_134,3. Cheap n Nasty,1. Mine only,country_37,Kuantan,New,"Company type: independent companies (multiple)
Funding Source: internally funded, loan funded, offtake agreement funded",Open Cut - Small Scale,"Sovereign: Med., influence of government and local community
Economic: Med., risk from infrastructure and seasonal factor
Technical: Med., new business in last two years
Comm./Env.: Med., high Env pressure and cost","Med., stable supply would be a risk",0
Mine_157,2. Intermediate,1. Mine only,country_17,"Bald Hill, Launceston, Tasmania",New,"Company type: Public company
Funding Source: stock financing, loans, offtake agreement
",Open Cut - Medium Scale,"Sovereign: Low, ABx sole operator in Tasmania and recieved grants from the local goverment
Economic: Med., high quality bx but with higher CAPEX & OPEX for delivery to China
Technical: Low, mature mining technology
Comm./Env.: Med., strict Env protection law in Australia but welcomed for job creation
Other: Able to use exsiting railways and ports. Also holds promising prospects in Binjour Qld.","Low, the key problem being the landed costs into China for the grade of bauxite",no likley impact
Mine_117,3. Cheap n Nasty,2. Mine+Roads/Rail,country_24,"Kontan, West India",Expansion,"Company type: independent companies (multiple)
Funding Source: internally funded, loan funded",Open Cut - Small Scale,"Sovereign: Med.,strong influence from government
Economic: Med., low cost but high export duties and royalties and difficulties in transportation
Technical: Low.
Comm./Env.: Med., high Env protection pressure in India","Med., stability of production and export would be the key risk",0
Mine_118,3. Cheap n Nasty,2. Mine+Roads/Rail,country_24,0,Expansion,"Company type: independent companies (multiple)
Funding Source: internally funded, loan funded",Open Cut - Small Scale,"Sovereign: Med.,strong influence from government
Economic: Med., low cost but high export duties and royalties and difficulties in transportation
Technical: Low.
Comm./Env.: Med., high Env protection pressure in India","Med., stability of production and export would be the key risk",0
Mine_126,3. Cheap n Nasty,2. Mine+Roads/Rail,country_26,West Kalimantan,New,"Company type: independent companies (multiple)
Funding Source: internally funded, loan funded, offtake agreement funded",Open Cut - Small Scale,"Sovereign: High, strong influence of government and local community
Economic: Med., risk from infrastructure and seasonal factors
Technical: Med., new business in last two years
Comm./Env.: Med., high Env pressure and cost","Med., stable supply would be a risk",0
Mine_125,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_26,Bintan,New,"Company type: independent companies (multiple)
Funding Source: internally funded, loan funded, offtake agreement funded",Open Cut - Small Scale,"Sovereign: High, strong influence of government and local community
Economic: Med., risk from infrastructure and seasonal factors
Technical: Med., new business in last two years
Comm./Env.: Med., high Env pressure and cost","Med., stable supply would be a risk",0
Mine_88,2. Intermediate,3. Mine+Roads/Rail+Port,country_45,North-West of Vanua Levu,New,"Company type: owned subsidiary
Funding Source: internally funded",Open Cut - Small Scale,"Sovereign: Low, subsidiary of Xinfa and government support
Economic: Med., little insfrastructure and wholly new business in the region
Technical: Low, low technology barrier
Comm./Env.: Med., Env protection pressure as in other countries","Med., the reserve and mining cost would be the key issue",0
Mine_87,3. Cheap n Nasty,2. Mine+Roads/Rail,country_44,Pedernales,New,"Company type: independent private company
Funding Source: loan funded, off take agreement, private equity funded",Open Cut - Small Scale,"Sovereign: High, dispute with government as to land use
Economic: Med., the volume would restrict the income and margin of the project
Technical: Low, low barrier and good terrain
Comm./Env.: High, the destruction of farming and tourist potential has incited government warnings / bans","Med., environmental and community pressure are likley to hamper long term operation",0
Mine_129,1. Gold plated,3. Mine+Roads/Rail+Port,country_51,0,Expansion,"Company type:independent private company
Funding Source: internally funded",Open Cut - Large Scale,"Sovereign: Med., dispute with government over export charges
Economic: Med.pricing would effect the project as the clients is far away with high freight
Technical: Low, the facility and mining mothed is quite mature and experienced
Comm./Env.: Med., the Env protection pressure is high, but not difficult to cope with
Other: Jamaica wants more downstream activity - may pressure companies to comply","Med., pricing margin and freight would be the key issue for the future bx sales",0
Mine_89,2. Intermediate,2. Mine+Roads/Rail,country_43,Tarkwa,New,"Company type: independent public company
Funding Source: loan funded, off take agreement, government funded, stock market",Open Cut - Medium Scale,"Sovereign: Med., potential for changeable government influences
Economic: Med., infractructure might increase project costs
Technical: Low, open-pit mining well established
Comm./Env.: High, the project has warnings from EPA of Ghana government","Med., if the project fails to meet the government's requirements, it might be suspended",0
Mine_146,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_55,Vghena,New,"Company type: independent private company (with intention to list thru IPO on the Singarpore Stock Exchange)
Funding Source: internally funded,  private equity funded, ",Open Cut - Small Scale,"Sovereign:Med. 
Economic: Med.
Technical: Low.
Comm./Env.: Med.
",Med.,0
Mine_72,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_17,"Hey Point, Cape York, Queensland",New,"Company type: independent private company (Green Coast, wholly owned subsidiary of Racle Resources)
Funding Source: internally funded at present",Open Cut - Small Scale,"Sovereign: Low
Economic: Low,low strip ratios and shallow, free-digging deposits
Technical: Low
Comm./Env.: Med. Must negotiate native landholder access reights etc..
","Med., close to coastal waters and int'l shipping routes",0
Mine_74,2. Intermediate,3. Mine+Roads/Rail+Port,country_17,"Cape York, Queensland",New,"Company type: not yet certain
Funding Source: not available",Open Cut - Large Scale,"Sovereign: Med. Must negotiate native title agreements
Economic: Med.: slightly lanlocked and lower grade than RTA leases
Technical: Low
Comm./Env.: Low",Med.,0
Mine_135,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_37,Sarawak,New,Unknown,Open Cut - Small Scale,"Sovereign: Med.
Economic: Med.
Technical: Med.
Comm./Env.: Med.
",Med.,0
Mine_52,1. Gold plated,3. Mine+Roads/Rail+Port,country_4,within the borders of the national forest of Saraca-Taquera ,Expansion,"Company type: independent public company
Funding Source: internally funded,off take agreement, 
",Open Cut - Large Scale,"Sovereign: Low. 
Economic: Low.
Technical: Low
Comm./Env.: Low
",High,"operates ore beneficiation facilities at its mines, which are connected by rail to a loading terminal and port facilities on the Trombetas River"
Mine_53,1. Gold plated,3. Mine+Roads/Rail+Port,country_4,west of the State of Para,Expansion,"Company type: independent public company
Funding Source: internally funded",Open Cut - Large Scale,"Sovereign: Low.
Economic: Low.
Technical: Low.
Comm./Env.: Low",High,"The mine include a port along the Amazon River, and a 55-km railway transporting bx to the port"
Mine_81,2. Intermediate,1. Mine only,country_4,"Zona da Mata District, State of Minas Gerais",Expansion,"Company type: independent public company
Funding Source: internally funded
",Open Cut - Large Scale,"Sovereign: Low.
Economic: Low.
Technical: Low.
Comm./Env.: Low",Med. The mine was delayed due to shortages of equipment and materials needed to operate the mine.,0
Mine_75,1. Gold plated,3. Mine+Roads/Rail+Port,country_17,"40 km south of Weipa and 40 km north of Aurukun, western Cape York Peninsula",New,"Company type: independent public company (Rio Tinto)
Funding Source: internally funded",Open Cut - Large Scale,"Sovereign: Low
Economic: Low
Technical: Low
Comm./Env.: Low","High, the project is an extention of the Weipa bauxite mine; based on a series of social and environmental studies and extensive consultation with stakeholders",Potential for autonomous vehicles to reduce labour costs
Mine_76,1. Gold plated,3. Mine+Roads/Rail+Port,country_17,"40 km south of Weipa and 40 km north of Aurukun, western Cape York Peninsula",New,"Company type: independent public company (Rio Tinto)
Funding Source: internally funded",Open Cut - Large Scale,"Sovereign: Low
Economic: Low
Technical: Low
Comm./Env.: Low","High, the project is an extention of the Weipa bauxite mine; based on a series of social and environmental studies and extensive consultation with stakeholders",Potential for autonomous vehicles to reduce labour costs
Mine_82,2. Intermediate,1. Mine only,country_4,"Rondon, Para State",New,"Company type: independent public company 
Funding Source: internally funded, pursuing off take agreement
",Open Cut - Large Scale,"Sovereign: low, government and local communities are friendly to mining
Economic:low, self-supplied energy
Technical: low
Comm./Env.: Med
Other: + any comments"," High, tier 1 mineral resoure, flexible energy matrix, convenient logistics","examples:
1) close to NS Railway with total length of 457 km. Railway investment to be made by the private sector under the new government concession mechanism
2) to build a new port in Barcarena "
Mine_67,1. Gold plated,3. Mine+Roads/Rail+Port,country_17,Dwellingup WA,Expansion,"Company type: independent public company (Alcoa)
Funding Source: internally funded
",Open Cut - Large Scale,"Sovereign: low
Economic: low 
Technical: low 
Comm./Env.: low
"," High
",0
Mine_152,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_57,"Gia Nghia, Dak Nong Province",New,"Mix and match a few of these … or others!:
Company type: independent public company (AWAC 40%), wholly owned subsidiary (Vinacomin 51%), Others (9%)
Funding Source: internally funded, government funded (partial)
AWAC signed a cooperation agreement with Vinacomin to conduct a joint feasibility study, which is subject to approval by the Government of Vietnam",Open Cut - Medium Scale,"Sovereign: Med., wait for government's approval
Economic: Med.
Technical: High, with support from AWAC
Comm./Env.: Low, environmental protests argue against",Med.,0
Mine_50,1. Gold plated,3. Mine+Roads/Rail+Port,country_17,Western Cape York Peninsula,Existing Opn.,"Company type: independent public company (Rio Tinto)
Funding Source: internally funded",Open Cut - Large Scale,"Sovereign: Low
Economic: Low
Technical: Low
Comm./Env.: Low",0,Potential for autonomous vehicles to reduce labour costs
Mine_56,1. Gold plated,3. Mine+Roads/Rail+Port,country_17,Northern Territory,Existing Opn.,"Company type: independent public company (Rio Tinto)
Funding Source: internally funded",Open Cut - Large Scale,"Sovereign: Low
Economic: Low
Technical: Low
Comm./Env.: Low",0,Potential for autonomous vehicles to reduce labour costs
Mine_113,2. Intermediate,2. Mine+Roads/Rail,country_47,0,New,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_114,3. Cheap n Nasty,1. Mine only,country_47,0,New,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_130,2. Intermediate,2. Mine+Roads/Rail,country_51,0,Expansion,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_131,2. Intermediate,2. Mine+Roads/Rail,country_51,0,Expansion,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_90,3. Cheap n Nasty,2. Mine+Roads/Rail,country_43,0,New,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_145,2. Intermediate,2. Mine+Roads/Rail,country_54,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_66,1. Gold plated,3. Mine+Roads/Rail+Port,country_17,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_73,2. Intermediate,1. Mine only,country_17,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_127,3. Cheap n Nasty,2. Mine+Roads/Rail,country_26,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_68,1. Gold plated,3. Mine+Roads/Rail+Port,country_17,0,Existing Opn.,"Company type: independent public company (Alcoa)
Funding Source: internally funded
",Open Cut - Large Scale,"Sovereign: low
Economic: low 
Technical: low 
Comm./Env.: low
"," High
",0
Mine_83,1. Gold plated,3. Mine+Roads/Rail+Port,country_4,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_84,1. Gold plated,3. Mine+Roads/Rail+Port,country_4,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_85,1. Gold plated,3. Mine+Roads/Rail+Port,country_4,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_86,2. Intermediate,3. Mine+Roads/Rail+Port,country_4,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_112,2. Intermediate,3. Mine+Roads/Rail+Port,country_47,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_147,1. Gold plated,3. Mine+Roads/Rail+Port,country_56,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_149,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_5,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_132,2. Intermediate,2. Mine+Roads/Rail,country_36,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_133,2. Intermediate,2. Mine+Roads/Rail,country_36,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_116,3. Cheap n Nasty,2. Mine+Roads/Rail,country_24,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_119,3. Cheap n Nasty,2. Mine+Roads/Rail,country_24,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_120,3. Cheap n Nasty,2. Mine+Roads/Rail,country_24,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_121,3. Cheap n Nasty,2. Mine+Roads/Rail,country_24,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_122,3. Cheap n Nasty,2. Mine+Roads/Rail,country_24,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_123,3. Cheap n Nasty,2. Mine+Roads/Rail,country_24,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_124,3. Cheap n Nasty,2. Mine+Roads/Rail,country_24,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_150,3. Cheap n Nasty,2. Mine+Roads/Rail,country_57,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_151,3. Cheap n Nasty,2. Mine+Roads/Rail,country_57,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_148,2. Intermediate,2. Mine+Roads/Rail,country_23,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_128,2. Intermediate,2. Mine+Roads/Rail,country_8,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_144,1. Gold plated,3. Mine+Roads/Rail+Port,country_33,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_115,2. Intermediate,2. Mine+Roads/Rail,country_48,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_91,2. Intermediate,2. Mine+Roads/Rail,country_13,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_92,2. Intermediate,2. Mine+Roads/Rail,country_13,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_78,2. Intermediate,1. Mine only,country_12,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_79,2. Intermediate,1. Mine only,country_12,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_136,2. Intermediate,1. Mine only,country_29,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_137,2. Intermediate,2. Mine+Roads/Rail,country_18,0,Existing Opn.,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_138,2. Intermediate,2. Mine+Roads/Rail,country_18,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_139,2. Intermediate,1. Mine only,country_18,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_140,2. Intermediate,1. Mine only,country_18,0,0,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
