Date,CM Data Source,Mine,Price,Price Type,Price Basis,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Extble Alumina,Moisture,Tonnage,Exporting Port,Importing Port,Final Specs Price Type,Final Specs Price Basis,Old CBIX type Calc,model_id
2015-06-30 00:00:00.000,somebody,Dian Dian,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,AMR,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Henan-Chine,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Rundi,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Dabiss N,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Aroaima,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Kurubuka,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Guyana Others,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Bakony,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Chhattisgarh,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Goa,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Gujarat & Maharashtra,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Jharkhand,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Karnataka,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Madhya Pradesh,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Odisha,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Andhra Pradesh,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Tamil Nadu,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Bintan,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,West Kalimantan,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Indonesia Other,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Jajarm,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Discovery Bay,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,UCRusal,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Jamaica Other,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Turgai,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Krasnogorsky,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Kuantan,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Malaysia Other,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Niksic,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Kola Apatit,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,North Onega,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,North Ural,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,South Ural,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Tikhvin,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Timan,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Kiya-Shaltyr,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Al-Baitha,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Mokanji,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Solomon Islands,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Suriname - AWACS,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Seydisehir,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Los Pijiguaos,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Nhan Co.,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Tan Rai,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Vietnam Others,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Amrun HT,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,GDM,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,SMB Malapouya,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Ashapura Guinea,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,SMB Kaboye,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,SMB Dabiss S,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,AGB2A,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Dynamic,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,SMB Santou-Houda,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,SMB SH no rail capital,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Aurum Xinfa-Fiji,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,SPIC,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
