refinery,province,factorx,Bauxite Consumption,bayerconstant
Fangcheng,Guangxi,10,0.1,1.23
Fangcheng,Guizhou,2,0.1,1.23
Fangcheng,Henan,2,0.1,1.23
Fangcheng,Shanxi,2,0.1,1.23
Fangcheng,Other,10,0.1,1
Tiangui,Guangxi,1,0.1,1.23
Tiangui,Guizhou,2,0.1,1.23
Tiangui,Henan,1,0.1,1.23
Tiangui,Shanxi,1,0.1,1.23
Tiangui,Other,1,0.2,1.23
Beihai_GIG,Guangxi,10,0.1,1.23
Beihai_GIG,Guizhou,2,0.1,1.23
Beihai_GIG,Henan,2,0.1,1.23
Beihai_GIG,Shanxi,2,0.1,1.23
Beihai_GIG,Other,10,0.1,1
Baise Mining,Guangxi,10,0.1,1.23
Baise Mining,Guizhou,2,0.1,1.23
Baise Mining,Henan,2,0.1,1.23
Baise Mining,Shanxi,2,0.1,1.23
Baise Mining,Other,10,0.1,1
Chalco Guizhou,Guangxi,5,0.1,1.23
Chalco Guizhou,Guizhou,2,0.1,1.23
Chalco Guizhou,Henan,1,0.1,1.23
Chalco Guizhou,Shanxi,1,0.1,1.23
Chalco Guizhou,Other,1,0.2,1.23
Chalco Zunyi,Guangxi,5,0.1,1.23
Chalco Zunyi,Guizhou,2,0.1,1.23
Chalco Zunyi,Henan,1,0.1,1.23
Chalco Zunyi,Shanxi,1,0.1,1.23
Chalco Zunyi,Other,1,0.2,1.23
Xian,Guangxi,5,0.1,1.23
Xian,Guizhou,2,0.1,1.23
Xian,Henan,1,0.1,1.23
Xian,Shanxi,1,0.1,1.23
Xian,Other,1,0.2,1.23
Huafei,Guangxi,5,0.1,1.23
Huafei,Guizhou,3,0.1,1.23
Huafei,Henan,1,0.1,1.23
Huafei,Shanxi,1,0.1,1.23
Huafei,Other,1,0.2,1.23
Qingzhen Guanglv,Guangxi,5,0.1,1.23
Qingzhen Guanglv,Guizhou,3,0.1,1.23
Qingzhen Guanglv,Henan,1,0.1,1.23
Qingzhen Guanglv,Shanxi,1,0.1,1.23
Qingzhen Guanglv,Other,1,0.2,1.23
Qizheng Chemical,Guangxi,5,0.1,1.23
Qizheng Chemical,Guizhou,3,0.1,1.23
Qizheng Chemical,Henan,1,0.1,1.23
Qizheng Chemical,Shanxi,1,0.1,1.23
Qizheng Chemical,Other,1,0.2,1.23
Qizheng Chemical Added LT,Guangxi,5,0.1,1.23
Qizheng Chemical Added LT,Guizhou,3,0.1,1.23
Qizheng Chemical Added LT,Henan,1,0.1,1.23
Qizheng Chemical Added LT,Shanxi,1,0.1,1.23
Qizheng Chemical Added LT,Other,1,0.2,1.23
SPIC - Wuchuan,Guangxi,5,0.1,1.23
SPIC - Wuchuan,Guizhou,3,0.1,1.23
SPIC - Wuchuan,Henan,1,0.1,1.23
SPIC - Wuchuan,Shanxi,1,0.1,1.23
SPIC - Wuchuan,Other,1,0.2,1.23
Kaisheng,Guangxi,5,0.1,1.23
Kaisheng,Guizhou,1,0.1,1.23
Kaisheng,Henan,1,0.1,1.23
Kaisheng,Shanxi,1,0.1,1.23
Kaisheng,Other,1,0.2,1.23
Huajin,Guangxi,5,0.1,1.23
Huajin,Guizhou,3,0.1,1.23
Huajin,Henan,1,0.1,1.23
Huajin,Shanxi,1,0.1,1.23
Huajin,Other,1,0.2,1.23
Chalco Zhengzhou domestic,Guangxi,5,0.1,1.23
Chalco Zhengzhou domestic,Guizhou,2,0.1,1.23
Chalco Zhengzhou domestic,Henan,1,0.1,1.23
Chalco Zhengzhou domestic,Shanxi,1,0.1,1.23
Chalco Zhengzhou domestic,Other,1,0.2,1.23
Chalco Zhengzhou import,Guangxi,10,0.1,1.23
Chalco Zhengzhou import,Guizhou,2,0.1,1.23
Chalco Zhengzhou import,Henan,2,0.1,1.23
Chalco Zhengzhou import,Shanxi,2,0.1,1.23
Chalco Zhengzhou import,Other,10,0.1,1
Chalco Zhongzhou Dom. Sinter,Guangxi,5,0.1,1.23
Chalco Zhongzhou Dom. Sinter,Guizhou,2,0.1,1.23
Chalco Zhongzhou Dom. Sinter,Henan,1,0.1,1.23
Chalco Zhongzhou Dom. Sinter,Shanxi,1,0.1,1.23
Chalco Zhongzhou Dom. Sinter,Other,1,0.2,1.23
Chalco Zhongzhou Dom. Bayer,Guangxi,10,0.1,1.23
Chalco Zhongzhou Dom. Bayer,Guizhou,2,0.1,1.23
Chalco Zhongzhou Dom. Bayer,Henan,2,0.1,1.23
Chalco Zhongzhou Dom. Bayer,Shanxi,2,0.1,1.23
Chalco Zhongzhou Dom. Bayer,Other,10,0.1,1
Chalco Zhongzhou LT Amt,Guangxi,10,0.1,1.23
Chalco Zhongzhou LT Amt,Guizhou,2,0.1,1.23
Chalco Zhongzhou LT Amt,Henan,2,0.1,1.23
Chalco Zhongzhou LT Amt,Shanxi,2,0.1,1.23
Chalco Zhongzhou LT Amt,Other,10,0.1,1
Kaiman,Guangxi,5,0.1,1.23
Kaiman,Guizhou,2,0.1,1.23
Kaiman,Henan,1,0.1,1.23
Kaiman,Shanxi,1,0.1,1.23
Kaiman,Other,1,0.2,1.23
Kaiman Import,Guangxi,5,0.1,1.23
Kaiman Import,Guizhou,2,0.1,1.23
Kaiman Import,Henan,1,0.1,1.23
Kaiman Import,Shanxi,1,0.1,1.23
Kaiman Import,Other,1,0.2,1.23
East Hope Mianchi,Guangxi,5,0.1,1.23
East Hope Mianchi,Guizhou,2,0.1,1.23
East Hope Mianchi,Henan,1,0.1,1.23
East Hope Mianchi,Shanxi,1,0.1,1.23
East Hope Mianchi,Other,1,0.2,1.23
East Hope Mianchi Added LT,Guangxi,5,0.1,1.23
East Hope Mianchi Added LT,Guizhou,2,0.1,1.23
East Hope Mianchi Added LT,Henan,1,0.1,1.23
East Hope Mianchi Added LT,Shanxi,1,0.1,1.23
East Hope Mianchi Added LT,Other,1,0.2,1.23
Huiyuan Lushan,Guangxi,5,0.1,1.23
Huiyuan Lushan,Guizhou,2,0.1,1.23
Huiyuan Lushan,Henan,1,0.1,1.23
Huiyuan Lushan,Shanxi,1,0.1,1.23
Huiyuan Lushan,Other,1,0.2,1.23
Jingxin,Guangxi,5,0.1,1.23
Jingxin,Guizhou,2,0.1,1.23
Jingxin,Henan,1,0.1,1.23
Jingxin,Shanxi,1,0.1,1.23
Jingxin,Other,1,0.2,1.23
Shenhuo,Guangxi,5,0.1,1.23
Shenhuo,Guizhou,2,0.1,1.23
Shenhuo,Henan,1,0.1,1.23
Shenhuo,Shanxi,1,0.1,1.23
Shenhuo,Other,1,0.2,1.23
Wanji,Guangxi,5,0.1,1.23
Wanji,Guizhou,2,0.1,1.23
Wanji,Henan,3,0.1,1.23
Wanji,Shanxi,1,0.1,1.23
Wanji,Other,1,0.2,1.23
Wanji import,Guangxi,5,0.1,1.23
Wanji import,Guizhou,3,0.1,1.23
Wanji import,Henan,1,0.1,1.23
Wanji import,Shanxi,1,0.1,1.23
Wanji import,Other,1,0.2,1.23
Weilai,Guangxi,5,0.1,1.23
Weilai,Guizhou,2,0.1,1.23
Weilai,Henan,1,0.1,1.23
Weilai,Shanxi,1,0.1,1.23
Weilai,Other,1,0.2,1.23
Yifeng Gongyi (Yulian Xinya),Guangxi,5,0.1,1.23
Yifeng Gongyi (Yulian Xinya),Guizhou,2,0.1,1.23
Yifeng Gongyi (Yulian Xinya),Henan,1,0.1,1.23
Yifeng Gongyi (Yulian Xinya),Shanxi,1,0.1,1.23
Yifeng Gongyi (Yulian Xinya),Other,1,0.2,1.23
Yima Yixiang,Guangxi,5,0.1,1.23
Yima Yixiang,Guizhou,2,0.1,1.23
Yima Yixiang,Henan,1,0.1,1.23
Yima Yixiang,Shanxi,1,0.1,1.23
Yima Yixiang,Other,1,0.2,1.23
Zhongmei,Guangxi,5,0.1,1.23
Zhongmei,Guizhou,2,0.1,1.23
Zhongmei,Henan,1,0.1,1.23
Zhongmei,Shanxi,1,0.1,1.23
Zhongmei,Other,1,0.2,1.23
Shaoxing,Guangxi,5,0.1,1.23
Shaoxing,Guizhou,2,0.1,1.23
Shaoxing,Henan,1,0.1,1.23
Shaoxing,Shanxi,1,0.1,1.23
Shaoxing,Other,1,0.2,1.23
Zhongchao,Guangxi,5,0.1,1.23
Zhongchao,Guizhou,2,0.1,1.23
Zhongchao,Henan,1,0.1,1.23
Zhongchao,Shanxi,1,0.1,1.23
Zhongchao,Other,1,0.2,1.23
Jialu Xianfeng,Guangxi,5,0.1,1.23
Jialu Xianfeng,Guizhou,2,0.1,1.23
Jialu Xianfeng,Henan,1,0.1,1.23
Jialu Xianfeng,Shanxi,1,0.1,1.23
Jialu Xianfeng,Other,1,0.2,1.23
Jinshi,Guangxi,5,0.1,1.23
Jinshi,Guizhou,2,0.1,1.23
Jinshi,Henan,1,0.1,1.23
Jinshi,Shanxi,1,0.1,1.23
Jinshi,Other,1,0.2,1.23
Huixiang,Guangxi,5,0.1,1.23
Huixiang,Guizhou,2,0.1,1.23
Huixiang,Henan,1,0.1,1.23
Huixiang,Shanxi,1,0.1,1.23
Huixiang,Other,1,0.2,1.23
Xinwang L-B,Guangxi,10,0.1,1.23
Xinwang L-B,Guizhou,2,0.1,1.23
Xinwang L-B,Henan,2,0.1,1.23
Xinwang L-B,Shanxi,2,0.1,1.23
Xinwang L-B,Other,10,0.1,1
Xinwang H-B,Guangxi,10,0.1,1.23
Xinwang H-B,Guizhou,2,0.1,1.23
Xinwang H-B,Henan,2,0.1,1.23
Xinwang H-B,Shanxi,2,0.1,1.23
Xinwang H-B,Other,10,0.1,1
Datang Tuoketuo Fly Ash,Guangxi,10,0.1,1.23
Datang Tuoketuo Fly Ash,Guizhou,2,0.1,1.23
Datang Tuoketuo Fly Ash,Henan,2,0.1,1.23
Datang Tuoketuo Fly Ash,Shanxi,2,0.1,1.23
Datang Tuoketuo Fly Ash,Other,10,0.1,1
Mengxi Fly Ash,Guangxi,10,0.1,1.23
Mengxi Fly Ash,Guizhou,2,0.1,1.23
Mengxi Fly Ash,Henan,2,0.1,1.23
Mengxi Fly Ash,Shanxi,2,0.1,1.23
Mengxi Fly Ash,Other,10,0.1,1
Mengxi import,Guangxi,5,0.1,1.23
Mengxi import,Guizhou,3,0.1,1.23
Mengxi import,Henan,1,0.1,1.23
Mengxi import,Shanxi,1,0.1,1.23
Mengxi import,Other,1,0.2,1.23
Qihui H-B,Guangxi,5,0.1,1.23
Qihui H-B,Guizhou,2,0.1,1.23
Qihui H-B,Henan,1,0.1,1.23
Qihui H-B,Shanxi,1,0.1,1.23
Qihui H-B,Other,1,0.1,1.23
Qihui L-B,Guangxi,5,0.1,1.23
Qihui L-B,Guizhou,2,0.1,1.23
Qihui L-B,Henan,1,0.1,1.23
Qihui L-B,Shanxi,1,0.1,1.23
Qihui L-B,Other,1,0.1,1.23
Jinjiang Lianyungang,Guangxi,5,0.1,1.23
Jinjiang Lianyungang,Guizhou,3,0.1,1.23
Jinjiang Lianyungang,Henan,1,0.1,1.23
Jinjiang Lianyungang,Shanxi,1,0.1,1.23
Jinjiang Lianyungang,Other,1,0.2,1.23
Chalco Lianyungang,Guangxi,5,0.1,1.23
Chalco Lianyungang,Guizhou,3,0.1,1.23
Chalco Lianyungang,Henan,1,0.1,1.23
Chalco Lianyungang,Shanxi,1,0.1,1.23
Chalco Lianyungang,Other,1,0.2,1.23
Chalco Shandong L-B,Guangxi,10,0.1,1.23
Chalco Shandong L-B,Guizhou,2,0.1,1.23
Chalco Shandong L-B,Henan,2,0.1,1.23
Chalco Shandong L-B,Shanxi,2,0.1,1.23
Chalco Shandong L-B,Other,10,0.1,1
Chalco Shandong sinter,Guangxi,5,0.1,1.23
Chalco Shandong sinter,Guizhou,2,0.1,1.23
Chalco Shandong sinter,Henan,1,0.1,1.23
Chalco Shandong sinter,Shanxi,1,0.1,1.23
Chalco Shandong sinter,Other,1,0.2,1.23
Chalco Shandong sinter import,Guangxi,5,0.1,1.23
Chalco Shandong sinter import,Guizhou,2,0.1,1.23
Chalco Shandong sinter import,Henan,1,0.1,1.23
Chalco Shandong sinter import,Shanxi,1,0.1,1.23
Chalco Shandong sinter import,Other,1,0.2,1.23
Chiping Xinfa L-B,Guangxi,10,0.1,1.23
Chiping Xinfa L-B,Guizhou,2,0.1,1.23
Chiping Xinfa L-B,Henan,2,0.1,1.23
Chiping Xinfa L-B,Shanxi,2,0.1,1.23
Chiping Xinfa L-B,Other,10,0.1,1
Chiping Xinfa H-B,Guangxi,10,0.1,1.23
Chiping Xinfa H-B,Guizhou,2,0.1,1.23
Chiping Xinfa H-B,Henan,2,0.1,1.23
Chiping Xinfa H-B,Shanxi,2,0.1,1.23
Chiping Xinfa H-B,Other,10,0.1,1.23
Lubei,Guangxi,10,0.1,1.23
Lubei,Guizhou,2,0.1,1.23
Lubei,Henan,2,0.1,1.23
Lubei,Shanxi,2,0.1,1.23
Lubei,Other,10,0.1,1
Nanshan Donghai H-B,Guangxi,10,0.1,1.23
Nanshan Donghai H-B,Guizhou,2,0.1,1.23
Nanshan Donghai H-B,Henan,2,0.1,1.23
Nanshan Donghai H-B,Shanxi,2,0.1,1.23
Nanshan Donghai H-B,Other,10,0.1,1.23
Nanshan Donghai L-B,Guangxi,10,0.1,1.23
Nanshan Donghai L-B,Guizhou,2,0.1,1.23
Nanshan Donghai L-B,Henan,2,0.1,1.23
Nanshan Donghai L-B,Shanxi,2,0.1,1.23
Nanshan Donghai L-B,Other,10,0.1,1.23
Bochuang,Guangxi,10,0.1,1.23
Bochuang,Guizhou,2,0.1,1.23
Bochuang,Henan,2,0.1,1.23
Bochuang,Shanxi,2,0.1,1.23
Bochuang,Other,10,0.1,1
Nanhan,Guangxi,10,0.1,1.23
Nanhan,Guizhou,2,0.1,1.23
Nanhan,Henan,2,0.1,1.23
Nanhan,Shanxi,2,0.1,1.23
Nanhan,Other,10,0.1,1
Weiqiao - Binzhou L-B,Guangxi,10,0.1,1.23
Weiqiao - Binzhou L-B,Guizhou,2,0.1,1.23
Weiqiao - Binzhou L-B,Henan,2,0.1,1.23
Weiqiao - Binzhou L-B,Shanxi,2,0.1,1.23
Weiqiao - Binzhou L-B,Other,10,0.1,1
Weiqiao - Binzhou H-B,Guangxi,10,0.1,1.23
Weiqiao - Binzhou H-B,Guizhou,2,0.1,1.23
Weiqiao - Binzhou H-B,Henan,2,0.1,1.23
Weiqiao - Binzhou H-B,Shanxi,2,0.1,1.23
Weiqiao - Binzhou H-B,Other,10,0.1,1
Weiqiao-Wudi-Zhanhua L-B,Guangxi,10,0.1,1.23
Weiqiao-Wudi-Zhanhua L-B,Guizhou,2,0.1,1.23
Weiqiao-Wudi-Zhanhua L-B,Henan,2,0.1,1.23
Weiqiao-Wudi-Zhanhua L-B,Shanxi,2,0.1,1.23
Weiqiao-Wudi-Zhanhua L-B,Other,10,0.1,1
Weiqiao-Wudi-Zhanhua H-B,Guangxi,10,0.1,1.23
Weiqiao-Wudi-Zhanhua H-B,Guizhou,2,0.1,1.23
Weiqiao-Wudi-Zhanhua H-B,Henan,2,0.1,1.23
Weiqiao-Wudi-Zhanhua H-B,Shanxi,2,0.1,1.23
Weiqiao-Wudi-Zhanhua H-B,Other,10,0.1,1
Aokaida,Guangxi,5,0.1,1.23
Aokaida,Guizhou,2,0.1,1.23
Aokaida,Henan,1,0.1,1.23
Aokaida,Shanxi,1,0.1,1.23
Aokaida,Other,1,0.2,1.23
Chalco Lvliang (Xing),Guangxi,5,0.1,1.23
Chalco Lvliang (Xing),Guizhou,2,0.1,1.23
Chalco Lvliang (Xing),Henan,1,0.1,1.23
Chalco Lvliang (Xing),Shanxi,1,0.1,1.23
Chalco Lvliang (Xing),Other,1,0.2,1.23
Chalco Shanxi,Guangxi,5,0.1,1.23
Chalco Shanxi,Guizhou,2,0.1,1.23
Chalco Shanxi,Henan,1,0.1,1.23
Chalco Shanxi,Shanxi,1,0.1,1.23
Chalco Shanxi,Other,1,0.2,1.23
Chalco Shanxi import,Guangxi,10,0.1,1.23
Chalco Shanxi import,Guizhou,2,0.1,1.23
Chalco Shanxi import,Henan,2,0.1,1.23
Chalco Shanxi import,Shanxi,2,0.1,1.23
Chalco Shanxi import,Other,10,0.1,1
SPIC Shanxi,Guangxi,5,0.1,1.23
SPIC Shanxi,Guizhou,2,0.1,1.23
SPIC Shanxi,Henan,1,0.1,1.23
SPIC Shanxi,Shanxi,1,0.1,1.23
SPIC Shanxi,Other,1,0.2,1.23
SPIC Shanxi import,Guangxi,10,0.1,1.23
SPIC Shanxi import,Guizhou,2,0.1,1.23
SPIC Shanxi import,Henan,2,0.1,1.23
SPIC Shanxi import,Shanxi,2,0.1,1.23
SPIC Shanxi import,Other,10,0.1,1
Dongxu Tianyuan,Guangxi,5,0.1,1.23
Dongxu Tianyuan,Guizhou,2,0.1,1.23
Dongxu Tianyuan,Henan,1,0.1,1.23
Dongxu Tianyuan,Shanxi,1,0.1,1.23
Dongxu Tianyuan,Other,1,0.2,1.23
Dongxu Tianyuan import,Guangxi,5,0.1,1.23
Dongxu Tianyuan import,Guizhou,2,0.1,1.23
Dongxu Tianyuan import,Henan,1,0.1,1.23
Dongxu Tianyuan import,Shanxi,1,0.1,1.23
Dongxu Tianyuan import,Other,1,0.2,1.23
East Hope Lingshi,Guangxi,5,0.1,1.23
East Hope Lingshi,Guizhou,2,0.1,1.23
East Hope Lingshi,Henan,1,0.1,1.23
East Hope Lingshi,Shanxi,1,0.1,1.23
East Hope Lingshi,Other,1,0.2,1.23
East Hope Lingshi Import,Guangxi,5,0.1,1.23
East Hope Lingshi Import,Guizhou,3,0.1,1.23
East Hope Lingshi Import,Henan,1,0.1,1.23
East Hope Lingshi Import,Shanxi,1,0.1,1.23
East Hope Lingshi Import,Other,1,0.2,1.23
Huaqing,Guangxi,5,0.1,1.23
Huaqing,Guizhou,2,0.1,1.23
Huaqing,Henan,1,0.1,1.23
Huaqing,Shanxi,1,0.1,1.23
Huaqing,Other,1,0.2,1.23
Qiangjin Aluminium,Guangxi,5,0.1,1.23
Qiangjin Aluminium,Guizhou,2,0.1,1.23
Qiangjin Aluminium,Henan,1,0.1,1.23
Qiangjin Aluminium,Shanxi,1,0.1,1.23
Qiangjin Aluminium,Other,1,0.2,1.23
Senze,Guangxi,5,0.1,1.23
Senze,Guizhou,2,0.1,1.23
Senze,Henan,1,0.1,1.23
Senze,Shanxi,0.4,0.1,1.23
Senze,Other,1,0.2,1.23
Taixing,Guangxi,5,0.1,1.23
Taixing,Guizhou,2,0.1,1.23
Taixing,Henan,1,0.1,1.23
Taixing,Shanxi,1,0.1,1.23
Taixing,Other,1,0.2,1.23
Wusheng,Guangxi,5,0.1,1.23
Wusheng,Guizhou,2,0.1,1.23
Wusheng,Henan,1,0.1,1.23
Wusheng,Shanxi,1,0.1,1.23
Wusheng,Other,1,0.2,1.23
Xinfa - Jiaokou,Guangxi,5,0.1,1.23
Xinfa - Jiaokou,Guizhou,2,0.1,1.23
Xinfa - Jiaokou,Henan,1,0.1,1.23
Xinfa - Jiaokou,Shanxi,1,0.1,1.23
Xinfa - Jiaokou,Other,1,0.2,1.23
Xinfa - Xiaoyi,Guangxi,5,0.1,1.23
Xinfa - Xiaoyi,Guizhou,2,0.1,1.23
Xinfa - Xiaoyi,Henan,1,0.1,1.23
Xinfa - Xiaoyi,Shanxi,1,0.1,1.23
Xinfa - Xiaoyi,Other,1,0.2,1.23
Xingan Chemical,Guangxi,5,0.1,1.23
Xingan Chemical,Guizhou,2,0.1,1.23
Xingan Chemical,Henan,1,0.1,1.23
Xingan Chemical,Shanxi,1,0.1,1.23
Xingan Chemical,Other,1,0.2,1.23
Xingan Chemical import,Guangxi,5,0.1,1.23
Xingan Chemical import,Guizhou,2,0.1,1.23
Xingan Chemical import,Henan,1,0.1,1.23
Xingan Chemical import,Shanxi,1,0.1,1.23
Xingan Chemical import,Other,1,0.2,1.23
Yangquan Zhaofeng,Guangxi,5,0.1,1.23
Yangquan Zhaofeng,Guizhou,2,0.1,1.23
Yangquan Zhaofeng,Henan,1,0.1,1.23
Yangquan Zhaofeng,Shanxi,1,0.1,1.23
Yangquan Zhaofeng,Other,1,0.2,1.23
Gangyuan Jiaohua,Guangxi,5,0.1,1.23
Gangyuan Jiaohua,Guizhou,2,0.1,1.23
Gangyuan Jiaohua,Henan,1,0.1,1.23
Gangyuan Jiaohua,Shanxi,1,0.1,1.23
Gangyuan Jiaohua,Other,1,0.2,1.23
Xinghua (Chalco Jiaokou),Guangxi,5,0.1,1.23
Xinghua (Chalco Jiaokou),Guizhou,2,0.1,1.23
Xinghua (Chalco Jiaokou),Henan,1,0.1,1.23
Xinghua (Chalco Jiaokou),Shanxi,1,0.1,1.23
Xinghua (Chalco Jiaokou),Other,1,0.2,1.23
Xinghua (Chalco Jiaokou) import,Guangxi,5,0.1,1.23
Xinghua (Chalco Jiaokou) import,Guizhou,2,0.1,1.23
Xinghua (Chalco Jiaokou) import,Henan,1,0.1,1.23
Xinghua (Chalco Jiaokou) import,Shanxi,1,0.1,1.23
Xinghua (Chalco Jiaokou) import,Other,1,0.2,1.23
Tiantong,Guangxi,5,0.1,1.23
Tiantong,Guizhou,2,0.1,1.23
Tiantong,Henan,1,0.1,1.23
Tiantong,Shanxi,1,0.1,1.23
Tiantong,Other,1,0.2,1.23
Fusheng,Guangxi,5,0.1,1.23
Fusheng,Guizhou,2,0.1,1.23
Fusheng,Henan,1,0.1,1.23
Fusheng,Shanxi,1,0.1,1.23
Fusheng,Other,1,0.2,1.23
YMG - Wenshan,Guangxi,5,0.1,1.23
YMG - Wenshan,Guizhou,2,0.1,1.23
YMG - Wenshan,Henan,1,0.1,1.23
YMG - Wenshan,Shanxi,1,0.1,1.23
YMG - Wenshan,Other,1,0.2,1.23
Guangxi - blending,Guangxi,10,0.1,1.23
Guangxi - blending,Guizhou,2,0.1,1.23
Guangxi - blending,Henan,2,0.1,1.23
Guangxi - blending,Shanxi,2,0.1,1.23
Guangxi - blending,Other,10,0.1,1
Guizhou - blending,Guangxi,10,0.1,1.23
Guizhou - blending,Guizhou,2,0.1,1.23
Guizhou - blending,Henan,2,0.1,1.23
Guizhou - blending,Shanxi,2,0.1,1.23
Guizhou - blending,Other,10,0.1,1
Henan - blending,Guangxi,10,0.1,1.23
Henan - blending,Guizhou,2,0.1,1.23
Henan - blending,Henan,2,0.1,1.23
Henan - blending,Shanxi,2,0.1,1.23
Henan - blending,Other,10,0.1,1
Shanxi - blending,Guangxi,10,0.1,1.23
Shanxi - blending,Guizhou,2,0.1,1.23
Shanxi - blending,Henan,2,0.1,1.23
Shanxi - blending,Shanxi,2,0.1,1.23
Shanxi - blending,Other,10,0.1,1
Other - blending,Guangxi,10,0.1,1.23
Other - blending,Guizhou,2,0.1,1.23
Other - blending,Henan,2,0.1,1.23
Other - blending,Shanxi,2,0.1,1.23
Other - blending,Other,10,0.1,1
spare,Guangxi,10,0.1,1.23
spare,Guizhou,2,0.1,1.23
spare,Henan,2,0.1,1.23
spare,Shanxi,2,0.1,1.23
spare,Other,10,0.1,1
