,Province,Power,LaborMining,Laborug,LaborGeneral,MineAutomation,MDOpenPit,MDUnderground,DressingAutomation,ProductionScale,PortionOpenpit,SWROpenPit,SWRUnderground,DieselPrice,MTCOpenpit,MTCUnderground,OMCOpenpit,OMCUnderground,DMCOpenpit,DMCUnderground,GCProvinceState,GCCountyLocal,FRRoad,FRRail,PriceDomesticBxFAW,CausticSoda,SodiumCarbonate,Lime,Flocculant,LCBasepricefaw,LCdistancetorefinery,ACBasepricefaw,ACdistancetorefinery,asource,lsource
10,Shaanxi,0.46846153846153800000,2550.00000000000000000000,3550.00000000000000000000,3050.00000000000000000000,1.00000000000000000000,10.00000000000000000000,120.00000000000000000000,1.00000000000000000000,800.00000000000000000000,0.90000000000000000000,12.00000000000000000000,0.50000000000000000000,6.92307692307692000000,2.00000000000000000000,1.00000000000000000000,5.00000000000000000000,1.00000000000000000000,23.00000000000000000000,23.00000000000000000000,20.00000000000000000000,0.00000000000000000000,0.44100000000000000000,0.10790000000000000000,272.95000000000000000000,2233.30000000000000000000,1187.50000000000000000000,300.00000000000000000000,18000.00000000000000000000,336.04700854700900000000,50.00000000000000000000,516.04700854700900000000,50.00000000000000000000,Shanxi,
11,Shandong,0.56456196581196600000,2625.00000000000000000000,3625.00000000000000000000,3125.00000000000000000000,1.00000000000000000000,50.00000000000000000000,120.00000000000000000000,2.00000000000000000000,1000.00000000000000000000,0.95000000000000000000,9.00000000000000000000,0.50000000000000000000,6.92307692307692000000,5.00000000000000000000,2.00000000000000000000,5.00000000000000000000,1.00000000000000000000,23.00000000000000000000,23.00000000000000000000,20.00000000000000000000,0.00000000000000000000,0.43050000000000000000,0.10790000000000000000,313.47500000000000000000,1902.70000000000000000000,1359.00000000000000000000,300.00000000000000000000,18000.00000000000000000000,357.16239316239300000000,80.00000000000000000000,647.76068376068400000000,80.00000000000000000000,Shanxi,
12,Shanxi,0.43116809116809100000,2625.00000000000000000000,3625.00000000000000000000,3125.00000000000000000000,2.00000000000000000000,25.00000000000000000000,100.00000000000000000000,2.00000000000000000000,1000.00000000000000000000,0.90000000000000000000,7.50028814604920000000,0.52209618257796300000,6.96153846153846000000,4.00000000000000000000,3.00000000000000000000,5.00000000000000000000,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000,20.00000000000000000000,20.00000000000000000000,0.45150000000000000000,0.10790000000000000000,279.74950000000000000000,1902.70000000000000000000,1240.00000000000000000000,300.00000000000000000000,18000.00000000000000000000,213.00000000000000000000,60.00000000000000000000,485.82051282051300000000,60.00000000000000000000,Shanxi,
13,Yunnan,0.41832858499525200000,2475.00000000000000000000,3475.00000000000000000000,2975.00000000000000000000,2.00000000000000000000,20.00000000000000000000,80.00000000000000000000,2.00000000000000000000,2500.00000000000000000000,1.00000000000000000000,16.00000000000000000000,0.50000000000000000000,7.07692307692308000000,3.00000000000000000000,2.00000000000000000000,5.00000000000000000000,1.00000000000000000000,23.00000000000000000000,23.00000000000000000000,20.00000000000000000000,0.00000000000000000000,0.47250000000000000000,0.10790000000000000000,232.75000000000000000000,3017.10000000000000000000,1200.00000000000000000000,300.00000000000000000000,18000.00000000000000000000,381.89743589743600000000,120.00000000000000000000,587.02564102564100000000,120.00000000000000000000,Shanxi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
