Importer.Exporter Combination,2018_10,2018_11,2018_12,2019_1,2019_10,2019_11,2019_12,2019_2,2019_3,2019_4,2019_5,2019_6,2019_7,2019_8,2019_9
Australia_Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia_Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0
Australia_Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35e-06,0.0
Australia_Suriname,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia_United Arab Emirates,0.0,0.0,0.0,0.0,7e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia_United States,0.0,1.595e-06,0.0,0.0,9.98e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.843e-06,1.02e-05,0.0,0.0
Austria_Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria_Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan_Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh_China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh_India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus_Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium_Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium_France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium_Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium_Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium_India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium_United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin_Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia_Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia & Herzegovina_Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil_Canada,0.0,0.0,9.999999999999999e-10,0.0,0.0,0.0,0.0,0.0,3e-09,0.0,0.0,0.0,0.0,0.0,0.0
Brazil_China,0.00023999999999999998,0.00029499999999999996,0.000489,0.000116,0.000166,0.000200105,5e-05,0.000304,0.000248,7.199999999999999e-05,0.0,0.0,0.0,2.5e-05,9.975e-05
Brazil_Germany,0.0,0.0,1.4999999999999999e-05,0.0,0.0,0.0,0.0,0.0,2.2499999999999998e-05,0.0,2.2499999999999998e-05,2.2499999999999998e-05,0.0,0.0,0.0
Brazil_Ghana,0.0,0.0,0.0,0.0,0.05,0.0,0.05095,0.0,0.0,0.05015,0.050475,0.047654,0.04918,0.0,0.0
Brazil_Guyana,0.0,0.0,0.0,0.0,0.000203201,0.0,0.000197876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019690299999999998
Brazil_Hong Kong,0.000193,0.0,3e-06,0.0,0.00028799999999999995,9.6e-05,0.0,0.0,0.0,0.0,0.0,7.199999999999999e-05,0.0,7.199999999999999e-05,0.0
Brazil_India,0.0,0.0,0.0,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,2.5e-05,0.0,0.0,5e-05,0.0
Brazil_Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil_Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001425,0.0
Brazil_Spain,0.0,0.0,0.0,0.0,0.0,4.118e-05,0.0,0.0,0.00018496000000000002,0.00016112,1.5640000000000003e-05,6.947e-05,0.0,0.0,6.936e-05
Brazil_Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil_United States,1.9999999999999997e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria_India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada_Brazil,0.222142,0.201151,0.208139,0.160956,0.284823,0.215131,0.106821,0.21581,0.163545,0.27324,0.165326,0.111181,0.168186,0.277473,0.217915
Canada_Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada_China,0.001525,0.000144,0.000119,0.000375,0.000435,8.7e-05,6.8e-05,0.000555,0.000153,0.00018,0.000218,0.00012,0.020138,0.00931,1.9e-05
Canada_France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada_Ghana,0.0,0.0,0.0,0.0,0.0,0.05638,0.0,0.0,0.0,0.05261,0.0585,0.0,0.0,0.05631,0.0
Canada_Guinea,0.12789,0.0,0.12113,0.062283,0.064719,0.053283,0.065162,0.122486,0.062463,0.128456,0.055216,0.061277,0.129642,0.125293,0.064821
Canada_Guyana,0.0,0.0,0.0,0.0,0.000289,0.000291,0.000332,0.0,0.0,0.0,0.007216,0.0,0.0,0.0,0.0
Canada_Italy,0.0,0.0,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada_Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0
Canada_Netherlands,0.0,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada_Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada_Singapore,0.0,0.0,0.0,0.0,0.0,5.7e-05,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada_South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada_Turkey,0.0,0.0,0.04745,0.0,0.00065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02227
Canada_United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3e-05,0.0,0.0,0.0,0.0
Canada_United States,0.009052000000000001,0.000457,0.000214,0.0072510000000000005,0.0016029999999999998,0.000375,0.0011510000000000001,0.000601,0.000371,0.002101,0.001225,0.000676,0.000789,0.000346,0.00129
Cayman Islands_United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceuta_Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile_Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile_United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China_Australia,2.682117808,2.905014488,1.690758336,2.069857295,3.501281921,3.2790309360000003,3.727597906,2.790303209,2.6522142680000003,2.978499149,2.5848473739999998,2.8726698820000003,3.00949596,3.237484738,3.332871035
China_Brazil,0.146096994,0.146465471,0.309494145,0.33769642,0.0,0.29517962799999997,0.0,0.21857145,0.149222044,0.146886119,0.292411252,0.0,0.0,0.144814336,0.287642748
China_Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China_Ghana,0.0,0.11151602099999999,0.0,0.10720511999999999,0.0,0.0,0.0,0.050999,0.123511,0.0,0.0,0.0,0.0,0.0,0.0
China_Guinea,2.545775888,2.92143263,3.797869255,4.2611414210000005,1.6597301990000002,1.8584871459999999,3.323285115,4.449045883,4.648155783,4.605451947,5.001502438,4.633450627,4.538873789,3.637560121,1.7863882169999998
China_Guyana,3.086e-05,0.0,0.0,0.0,0.0,0.0,4.3e-08,0.0,1.5360000000000002e-05,0.0,0.0,0.0,0.0,8.439999999999999e-06,0.00010742
China_India,5e-05,0.05725381,0.04326894,0.0,0.0,0.0,0.0,0.0,0.1656112,0.16138113,0.0007398,0.0,0.0,0.0,5e-09
China_Indonesia,0.442929133,1.169978892,0.925556915,0.8741031930000001,1.077210053,1.502203188,1.560139765,1.199006275,1.153653374,1.413193551,1.027564847,1.1220248959999999,1.1607673809999999,1.1342565569999998,1.212020967
China_Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China_Jamaica,0.08240900000000001,0.048795000000000005,0.059365,0.0,0.00820789,0.013061989999999999,0.0,0.0,0.06951042700000001,0.20488503,0.0,0.0,0.025928,0.0613687,0.02831499
China_Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2e-07,0.0,0.0
China_Malaysia,0.048406410999999996,0.044228641000000006,0.16675052099999998,0.0,0.06547299200000001,1.4e-08,0.03347934,0.046716614999999996,0.046523136,0.138434654,0.120100573,0.06828000000000001,0.08408735,0.14985882,0.0
China_Montenegro,0.0,0.0,0.070749594,0.0,0.046766074000000005,0.086794517,0.063935613,0.060870099000000004,0.0,0.061782815,3.9999999999999994e-09,0.05849854,0.06903018,0.0,0.0
China_Pakistan,0.0,0.0,0.0,0.0,0.0,9.999999999999999e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China_Philippines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1e-08
China_Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.809999999999999e-07
China_Sierra Leone,0.0,6e-09,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.0,0.049813798,0.0,0.0
China_Solomon Islands,0.1135275,0.16076262,0.12210044,0.14972012,0.1186575,0.05535,0.1710015,0.07661011999999999,0.0237975,0.054825000000000006,0.0485982,0.11400525,0.0513,0.221662826,0.102225
China_Spain,0.0,1.4109999999999999e-05,0.0,5.9825000000000004e-05,0.0,0.0,0.0,1.1e-05,3.6575e-05,6.405e-05,5.6e-05,0.0001014,1.96e-05,0.0,0.0
China_Turkey,0.0611802,0.0,0.0,0.05212925,0.00106897,0.12454808,0.0,0.0,0.0,0.005324505,0.074020721,0.00050108,0.06115088,0.0,0.0
China_United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China_Vietnam,0.0,0.087458208,0.051194243,0.040572745,0.0,0.0,0.0,0.0,0.0,0.0,0.042017429,0.0,0.0,0.05620052,0.0
Colombia_Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia_India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia_Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia_China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia_Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia_Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia_Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba_India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba_Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic_France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic_Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic_Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic_United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark_Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark_Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador_United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland_Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland_Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France_Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France_Austria,0.000163,0.000565,0.000204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France_Belgium,0.000327,0.000535,0.000176,0.000542,0.000374,0.00046,0.0,0.000511,0.000709,0.000667,0.000582,0.00069,0.000716,0.000583,0.000733
France_Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France_China,0.000312,0.000556,0.005632,0.008092,0.0,0.015383,0.0,0.00037,0.000386,0.00048,0.007416,0.006855,0.000653,0.000192,0.007039
France_Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0
France_Germany,0.008302,0.000216,0.000876,0.002049,6.6e-05,0.000776,0.0,0.000203,0.00121,0.00044,0.001479,9.1e-05,0.008049,0.001336,0.000278
France_Greece,0.023196,0.017314,0.016909,0.017004,0.02203,0.027986,0.0,0.015752,0.017261,0.024022,0.020404,0.018403,0.02205,0.022555,0.022281
France_Guinea,0.0,0.130003,0.061188,0.127228,0.066806,0.0,0.0,0.128304,0.067103,0.070594,0.125785,0.067096,0.067123,0.125337,0.061781
France_Guyana,0.005504,0.00154,0.0,0.002061,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.008819,0.0,0.001501
France_India,0.001067,0.000172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0003,0.0,0.0,0.0
France_Italy,0.001876,0.000948,0.000525,0.00078,0.000444,0.000374,0.0,0.0,0.000204,1.4e-05,0.001864,0.006318,0.00136,0.000674,0.0
France_Luxembourg,2e-05,0.0,2.4e-05,0.0,0.0,0.0,0.0,2.4e-05,2e-05,0.0,0.0,3.4e-05,5.9e-05,2.4e-05,0.0
France_Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France_Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000285,2.5e-05,0.0
France_Netherlands,2e-06,0.0,2e-06,2e-06,0.000697,5e-06,0.0,7.4e-05,2.6e-05,0.000148,3e-06,0.0,0.0,0.0,5e-06
France_Niger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France_Spain,7.4e-05,7.2e-05,0.0,9.9e-05,0.0,1e-06,0.0,0.0,0.000123,4.9e-05,7.5e-05,0.000121,9.7e-05,0.0,4.8e-05
France_Turkey,0.0,0.0,0.01,0.0,0.0085,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0
France_United Kingdom,0.001559,0.000132,0.000326,0.001272,0.000493,0.000258,0.0,0.000295,0.000282,0.000451,0.000142,0.000195,7.4e-05,2.8e-05,0.000229
France_United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6e-05
FTZ-Yumurtalik_Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia_Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany_Austria,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany_Belgium,0.000609,3e-05,0.000172,0.000179,5.3e-05,0.0,0.0,0.000157,5.6e-05,0.000173,5.6e-05,0.000254,0.000149,5.6e-05,4.9e-05
Germany_Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,0.0,0.055,0.0,0.0,4.5e-05,7e-06,0.053688
Germany_China,0.000909,0.004446,0.001578,0.00208,0.000998,0.0,0.0,0.001361,7.3e-05,0.018448,0.001794,0.000224,0.0,0.001292,0.002189
Germany_Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany_Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7e-05,0.0,0.0
Germany_France,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany_Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany_Guinea,0.24886,0.121751,0.0,0.124502,0.244167,0.0,0.0,0.120572,0.25415,0.246992,0.189729,0.124521,0.251044,0.189243,0.252149
Germany_India,0.0002,0.000625,0.000525,0.0002,0.0002,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,0.0,0.000208,0.0002
Germany_Italy,0.000252,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany_Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
Germany_Luxembourg,0.000414,0.000604,2.9e-05,0.000355,0.000269,0.0,0.0,0.000519,0.00044,7.1e-05,0.00041,0.000281,0.00079,4.7e-05,0.000661
Germany_Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany_Netherlands,0.002627,0.002282,0.000538,0.004488,0.001416,0.0,0.0,0.003327,0.001849,0.001428,0.001625,0.003773,0.000379,0.005941,0.0006
Germany_Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-05,0.0
Germany_Spain,0.0,2.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015,0.0,0.0
Germany_Sweden,0.0,0.00015,0.0,0.0,3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany_Switzerland,0.0,0.0,0.0,0.0,2.3e-05,0.0,0.0,0.0,2.7e-05,0.0,0.0,0.0,2.6e-05,0.0,2.3e-05
Germany_Turkey,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany_United Kingdom,0.000308,0.003576,0.000501,0.000289,0.000222,0.0,0.0,0.000337,0.000275,0.00038,0.000377,0.000294,0.000382,0.000318,0.000291
Germany_United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece_Brazil,0.045581,0.089235,0.042697,0.086169,0.044297,0.04734,0.0,0.09574,0.0,0.0,0.047191,0.047772,0.0,0.13638,0.045093
Greece_China,0.00012,0.0,0.00012,2.4e-05,9.6e-05,0.0,0.0,0.000144,0.000288,0.00012,4.3e-05,7.2e-05,7.2e-05,0.000182,0.00012
Greece_Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015,0.0,0.0,0.0,0.0,0.0
Greece_Guinea,0.042628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046839,0.0,0.0,0.0
Greece_Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00702,0.0,0.0,0.0,0.0,0.0
Greece_Netherlands,2e-06,0.0,0.0,4e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,2e-06,2e-06,0.0,0.0
Greece_Turkey,0.014093,0.0,0.022598,0.01204,0.006011,0.006037,0.0,0.0,0.017025,0.00528,0.01734,0.014202,0.02384,0.005998,0.011269
Guatemala_India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea_Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea_India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary_Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India_Brazil,0.056026000000000006,0.153395,0.04718,0.154691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India_China,0.004395999999999999,0.00328355,0.003428,0.004692999999999999,0.005804,0.0,0.0,0.0036000000000000003,0.0032122,0.0047225,0.002405,0.006034,0.006052,0.007571,0.0047707
India_Germany,2.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India_Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India_Guinea,0.0,0.0,0.0,0.23673203,0.225571,0.0,0.0,0.186502,3.0000000000000004e-08,0.114187,0.13181800000000002,0.182536,0.062058,0.0,0.098118
India_Guyana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000307,0.0,0.0,0.00102318,0.0
India_Hong Kong,0.0010869999999999999,0.0,0.00045,0.000475,0.0008539999999999999,0.0,0.0,0.000154,0.000615,0.0005,0.000624,0.001073,0.001067,0.001315,0.001374
India_Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India_Netherlands,3.8e-05,0.0,0.0,7.6e-05,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6e-05,3.8e-05
India_Pakistan,0.012326,0.016791,0.016789,0.0062,0.0,0.0,0.0,0.0021139999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India_Poland,0.0,0.0,0.0,1.0000000000000001e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India_Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056049999999999996,0.0,0.0,0.0,0.0,0.0
India_Singapore,0.0,0.0,0.0005,0.0006,0.000825,0.0,0.0,0.00015,0.0,0.0,0.000275,0.00165,0.00015,0.0004,0.000475
India_Solomon Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046279,0.0,0.0,0.0,0.0,0.0
India_Sweden,0.0,1.0000000000000001e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India_Taiwan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5e-07,0.0,0.0,0.0
India_Trinidad & Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India_Ukraine,0.0,5.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6e-05,0.0,0.0,0.0,0.0
India_United Arab Emirates,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.000121026,0.0001,0.0001,0.0,0.0001
India_United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2999999999999999e-08,0.0,0.0,4e-08,0.0,0.0,0.0,0.0
