Province,county,china_bx_data2_id,deposit_mine,inventory_000_t,geological_endowment_000_t,inventory_reference,endowment_reference,filter_for_DDM
Guangxi,Tiandong,88,Gaoguo deposit,5780,30390,GxGeoRpt,GxGeoRpt,
Guangxi,Tianyang,89,Babie deposit,19640,194250,GxGeoRpt,GxGeoRpt,
Guangxi,Tianyang,90,Dalu Bauxite Mine,67480,172280,GxGeoRpt,GxGeoRpt,
Guangxi,Tianyang,91,Gumei-Barbie deposit,34010,341210,GxGeoRpt,GxGeoRpt,
Guangxi,Tian'e,92,Tian'e County Coal Mine (Laopeng bauxite deposit),580,46230,GxGeoRpt,GxGeoRpt,
Guangxi,Tianlin,93,Chaoyang deposit,1070,15200,GxGeoRpt,GxGeoRpt,
Guangxi,Tianlin,94,Dabaocheng deposit,10,15250,GxGeoRpt,GxGeoRpt,
Guangxi,Yizhou,95,Liucun deposit,0,44540,GxGeoRpt,GxGeoRpt,
Guangxi,Yizhou,96,Sancha deposit,30,8700,GxGeoRpt,GxGeoRpt,
Guangxi,Yongning,97,Nalang deposit,1000,12670,GxGeoRpt,GxGeoRpt,
Guizhou,Daozhen,98,Datang,70750.6,106411,CM Field work - geological report,CM Field work - geological report,
Guizhou,Daozhen,99,Daozhen County Mailishu Bauxite,1370,4010,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document,
Guizhou,Daozhen,100,Daozhen,13430.6,47331.4,CM Field work - geological report,CM Field work - geological report & ??????85?????????? http://www.kms88.com/news/html/2016/0831/255116.shtml,
Guizhou,Daozhen,101,Taoyuan,16341,25363,CM Field work - geological report,CM Field work - geological report,
Guizhou,Daozhen,102,Taoyuan,10380,36450,"CM Field work - geological report & ??????85??????????, alt ref Sunny: Potential RR http://www.kms88.com/news/html/2016/0831/255116.shtml","CM Field work - geological report & ??????85??????????, alt ref Sunny: Potential RR http://www.kms88.com/news/html/2016/0831/255116.shtml",
Guizhou,Daozhen,103,Pingmo Bauxite Mine,9110,9110,"??????85??????????, alt ref Sunny: 9110Potential RR http://www.kms88.com/news/html/2016/0831/255116.shtml","??????85??????????, alt ref Sunny: 9110Potential RR http://www.kms88.com/news/html/2016/0831/255116.shtml",
Guizhou,Daozhen,104,Daozhen County Xinmin Bauxite Mine General Exploration,50600,50600,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document,
Guizhou,Daozhen,105,Sanqingmiao Bauxite Mine,11000,11000,?????????????????????????? http://www.gzysdkj.gov.cn/ywgz/dzkc/201610/t20161017_1394598.html,?????????????????????????? http://www.gzysdkj.gov.cn/ywgz/dzkc/201610/t20161017_1394598.html,
Guizhou,Fuquan,106,Taiping Bauxite mine,7220,7220,???????????????????????????????????? http://www.mlr.gov.cn/kczygl/zhgl/201603/P020160316538895536938.pdf,???????????????????????????????????? http://www.mlr.gov.cn/kczygl/zhgl/201603/P020160316538895536938.pdf,
Guizhou,Guiyang,107,Doupengshan,9289,9289,BHL2008,BHL2008,
Guizhou,Guiyang,108,Baiyun District Niuchang County Yuwushan Bauxite Mine,223,223,BHL2008,BHL2008,
Guizhou,Huangping,109,Huangping County Chong'anjiang Town Wangjiazhai Bauxite Mine,1761,1761,BHL2008,BHL2008,
Guizhou,Huangping,110,Huangping Wangjiazhai Bx Mine ,8733.6,9102,??????? https://wenku.baidu.com/view/c47d40758e9951e79b892714.html,??????? https://wenku.baidu.com/view/c47d40758e9951e79b892714.html,
Guizhou,Huangping,111,Maiba Bauxite Mine,4420.6,4420.6,"???????????????30 ? t/a ??, http://www.hpxhbj.gov.cn/images/xzspgs/slgs/2014/5/9/49576d31-e953-4aea-bb75-9cda3d4c52e4.pdf","???????????????30 ? t/a ??, http://www.hpxhbj.gov.cn/images/xzspgs/slgs/2014/5/9/49576d31-e953-4aea-bb75-9cda3d4c52e4.pdf",
Guizhou,Kaili,112,Kulijing (Yudong),15122.4,35705.3,????????????? http://www.docin.com/p-1439557823.html,????????????? http://www.docin.com/p-1439557823.html,
Guizhou,Kaili,113,Kaili - Huangping Area Bauxite Integrated Exploration - Kulijing Mine,33348.4,33348.4,REF 08-13 New Discoveries Document ,REF 08-13 New Discoveries Document ,
Guizhou,Kaili,114,Kaili - Huangping Area Bauxite Integrated Exploration - Wangjiazhai Mine,6437.7,6437.7,REF 08-13 New Discoveries Document ,REF 08-13 New Discoveries Document ,
Guizhou,Kaili,115,Kaili City Alumina Plant,344,344,BHL2008,BHL2008,
Guizhou,Kaili,116,Kaili City Getian Refractory Kulijin Mine,1,1,BHL2008,BHL2008,
Guizhou,Kaili,117,Kaili City Huangmaozhai Mine,988,988,BHL2008,BHL2008,
Guizhou,Kaili,118,Kaili City Jinding Zinc Plant Xiaopaomu Mine,67,67,BHL2008,BHL2008,
Guizhou,Kaili,119,no mining or exploitation carried out,1255,1255,BHL2008,BHL2008,
Guizhou,Kaili,120,no mining or exploitation carried out (Baiyanshan Bauxite Mine),448,448,BHL2008,BHL2008,
Guizhou,Kaili,121,Lushan-Xiaoba (formerly Xiaoshanba) Bx mine,265.8,265.8,????????????? http://www.docin.com/p-1439557823.html,????????????? http://www.docin.com/p-1439557823.html,
Guizhou,Kaiyang,122,Kaiyang County Hejiawan Mine,2760,2760,BHL2008,BHL2008,
Guizhou,Kaiyang,123,Kaiyang County Mchang Town Gaolu Village,952,952,BHL2008,BHL2008,
Guizhou,Kaiyang,124,Kaiyang County Xuetangwan Bauxite Mine,220,220,BHL2008,BHL2008,
Guizhou,Kaiyang,125,Kaiyang County Zhaojiawa Mine,2853,2853,BHL2008,BHL2008,
Guizhou,Kaiyang,126,Gaolu Village Houshang Bx Mine,464.7,0,??????????????? 2011-2015 https://www.google.com.au/url?sa=t&rct=j&q=&esrc=s&source=web&cd=8&ved=0ahUKEwiQ1YKUhZnUAhXEX5QKHXU1DvwQFghZMAc&url=http%3A%2F%2Fwww.gzgtzy.gov.cn%2Fimages%2Fupload%2F2013_05_13_0909256646.doc&usg=AFQjCNFxkfrOemkHlySkEbaX67QySliRVg&sig2=wHnC-XbpQePhfX5Qy-mJTA&cad=rja,??????????????? 2011-2015 https://www.google.com.au/url?sa=t&rct=j&q=&esrc=s&source=web&cd=8&ved=0ahUKEwiQ1YKUhZnUAhXEX5QKHXU1DvwQFghZMAc&url=http%3A%2F%2Fwww.gzgtzy.gov.cn%2Fimages%2Fupload%2F2013_05_13_0909256646.doc&usg=AFQjCNFxkfrOemkHlySkEbaX67QySliRVg&sig2=wHnC-XbpQePhfX5Qy-mJTA&cad=rja,
Guizhou,Kaiyang,127,Gaozhai Village Pingshang Bauxite Mine,0,335.4,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=111622,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=111622,
Guizhou,Kaiyang,128,Gelaobao Bauxite Mine,74.5,192.8,?????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=111616,?????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=111616,
Guizhou,Kaiyang,129,Jiaxing Fumin Bauxite Mine,209,209,????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=109995,????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=109995,
Guizhou,Jinsha,130,Datian Village Huangjiayan Bx mine,525,803, http://www.gzjinsha.gov.cn/html/2015/02/03/content_4886873.html, http://www.gzjinsha.gov.cn/html/2015/02/03/content_4886873.html,
Guizhou,Jinsha,131,Pingba Village Changgou Bx Mine,1787.9,2697,??????????????????????????? http://www.gzgtzy.gov.cn/Html/2013/08/08/20130808_152921_25341.html + other non linked reference,??????????????????????????? http://www.gzgtzy.gov.cn/Html/2013/08/08/20130808_152921_25341.html + other non linked reference,
Guizhou,Jinsha,132,Wumengshan deposit(Changgou&Shaping Bx mine),19645.9,19645.9,????????????????????? http://www.chinania.org.cn/html/kuangchanziyuan/2016/0612/24976.html,????????????????????? http://www.chinania.org.cn/html/kuangchanziyuan/2016/0612/24976.html,
Guizhou,Longli,133,Jingu Bauxite Mine,0,10000,????????????? http://shumx.webc.testwebsite.cn/jiaoyi3_detail/id/749.html,????????????? http://shumx.webc.testwebsite.cn/jiaoyi3_detail/id/749.html,
Guizhou,Longli,134,Minzhu Village Gulang Bauxite Mine,296.1,296.1,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=111684,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=111684,
Guizhou,Longli,135,Minzhu Village Changchong Bauxite Mine,99.9,99.9,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=111683,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=111683,
Guizhou,Qingzhen,136,"Changchonghe Changchonghe Mine (""Qingzhen City Changchonghe Bauxite Mine Changchonghe Mine"")",9287.5,9287.5,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=63508,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=63508,
Guizhou,Qingzhen,137,Changchonghe Dayan summary,5064,5064,BHL2008,BHL2008,
Guizhou,Qingzhen,138,"Changchonghe Mine (""CHALCO Guizhou province 2nd Bauxite Mine Changchonghe Mine"")",148,148,BHL2008,BHL2008,
Guizhou,Qingzhen,139,"Changchonghe Poyan (""Guizhou province 2nd Bauxite Mine Changchonghe Mine Poyan"")",473,473,BHL2008,BHL2008,
Guizhou,Qingzhen,140,"Changchonghe Xiaozhaigou Section (""Guizhou province Aluminum Plant 2nd Changchonghe Mine Xiaozhaigou Section"")",1460,1460,BHL2008,BHL2008,
Guizhou,Qingzhen,141,"Changchonghe Xinlongdapo Mine (""Qingzhen City Changchonghe Bauxite Mine Xinlongdapo Mine"")",653,653,BHL2008,BHL2008,
Guizhou,Qingzhen,142,Changchonghe Yanglong Lindai summary,7185,16700,BHL2008,CM Field work,
Guizhou,Qingzhen,143,"Changchonghe Zhaojiashan Section (""Guizhou province Aluminum Plant 2nd Changchonghe Mine Zhaojiashan Section"")",909,909,BHL2008,BHL2008,
Guizhou,Qingzhen,144,"Daiyanlong Mine (""Guizhou province Aluminum Plant 2nd Mine Daiyanlong Mine"")",3724,3724,BHL2008,BHL2008,
Guizhou,Qingzhen,145,Guizhou province Aluminum Plant 2nd Mine A,3009,3009,BHL2008,BHL2008,
Guizhou,Qingzhen,146,Guizhou province Aluminum Plant 2nd Mine B,8313,8313,BHL2008,BHL2008,
Guizhou,Qingzhen,147,"Huangni Al-Fe Mine (""Qingzhen City Liwei County Huangni Al-Fe Mine"")",378,378,BHL2008,BHL2008,
Guizhou,Qingzhen,148,"Huangnitian Mine (""Qingzhen City Huangnitian Mine"")",2330,2330,BHL2008,BHL2008,
Guizhou,Qingzhen,149,Maiba,12000,14890,?????????????????? https://news.cnal.com/2013/12-06/1386298935355471.shtml,CM Field work,
Guizhou,Qingzhen,150,Maige (Summary),8009,8009,BHL2008,BHL2008,
Guizhou,Qingzhen,151,Maochang Bx Mine,191769,191769,BHL2008 & ????????????????2011-2015?),BHL2008 & ????????????????2011-2015?),
Guizhou,Qingzhen,152,Once exploited by Guizhou province PLA7578 Refractory,6014,6014,BHL2008,BHL2008,
Guizhou,Qingzhen,153,"Provincial Geological Prospecting Bureau Team 115 ""57"" Mine",7050,7050,BHL2008,BHL2008,
Guizhou,Qingzhen,154,Tanguanyao summary,5307.2,6159.5,"??????????????????????????, http://www.gzgtzy.gov.cn/Html/2016/12/30/20161230_093035_43504.html","??????????????????????????, http://www.gzgtzy.gov.cn/Html/2016/12/30/20161230_093035_43504.html",
Guizhou,Qingzhen,155,Weicheng summary,5955,5955,BHL2008,BHL2008,
Guizhou,Qingzhen,156,"Yangjiazhuang Mine (""Qingzhen City Yangjiazhuang Mine"")",8504,8504,BHL2008,BHL2008,
Guizhou,Qingzhen,157,"Zhaijie Shimen Bauxite Mine (""Qingzhen City Zhaijie Shimen Bauxite Mine"")",136,136,BHL2008,BHL2008,
Guizhou,Qingzhen,158,Zhuangzi Al-Fe Mines summary,394,394,BHL2008,BHL2008,
Guizhou,Qingzhen,159,Gubadang Bauxite Mine,1217.5,1217.5,????????????????????? http://www.docin.com/p-1174234514.html,????????????????????? http://www.docin.com/p-1174234514.html,
Guizhou,Qingzhen,160,Xinjie-Wulaoshan,4131.5,4131.5,????????-?????????? http://www.zgkyb.com/zhaokuang/20150914_21401.htm,????????-?????????? http://www.zgkyb.com/zhaokuang/20150914_21401.htm,
Guizhou,Qingzhen,161,Weicheng Changchong,19840,19840,"?????????????? ?????1984??, http://www.chinaunsv.com/html/2015/news_0827/15301.html","?????????????? ?????1984??, http://www.chinaunsv.com/html/2015/news_0827/15301.html",
Guizhou,Qingzhen,162,Liwo village Jindachong Bx mine,1725,1725,????????????????????????????????? http://www.mlr.gov.cn/zwgk/zzrz/dk/kygs/201510/P020151009363766290376.pdf,????????????????????????????????? http://www.mlr.gov.cn/zwgk/zzrz/dk/kygs/201510/P020151009363766290376.pdf,
Guizhou,Qingzhen,163,Zhanjie Wangjiashan Bx mine,523.6,523.6,???????????????????10?t/a?????????? http://www.gzhjbh.gov.cn/00939062-3/B/05/01/743711.shtml,???????????????????10?t/a?????????? http://www.gzhjbh.gov.cn/00939062-3/B/05/01/743711.shtml,
Guizhou,Weng'an,164,Weng'an County Yanmen Bauxite Mine,72,72,BHL2008,BHL2008,
Guizhou,Weng'an,165,Weng'an County Yanmen Mine,1499,1499,BHL2008,BHL2008,
Guizhou,Weng'an,166,Caotang Laozhaizi Bauxite Mine,2580,2580,??????????????????????????????????????? http://www.gzgtzy.gov.cn/Html/2016/07/08/20160708_111141_41038.html,??????????????????????????????????????? http://www.gzgtzy.gov.cn/Html/2016/07/08/20160708_111141_41038.html,
Guizhou,Weng'an,167,Liangchahe - Sujiatang,0,7172.9,??????????????????????????????????? http://www.gzgtzy.gov.cn/Html/2016/05/19/20160519_180028_40146.html,??????????????????????????????????? http://www.gzgtzy.gov.cn/Html/2016/05/19/20160519_180028_40146.html,
Guizhou,Weng'an,168,Shihushan bauxite mine,1652.8,3013.4,??????????????????????????????? http://www.gzgtzy.gov.cn/Html/2017/03/31/20170331_114631_44576.htm,??????????????????????????????? http://www.gzgtzy.gov.cn/Html/2017/03/31/20170331_114631_44576.htm,
Guizhou,Wuchuan,169,Dazhuyuan Bx Mine,63000,63000,"CM Field Study Dec 2015, ????????????????. http://www.shumx.com/jiaoyi1_detail/id/775.html","CM Field Study Dec 2015, ????????????????. http://www.shumx.com/jiaoyi1_detail/id/775.html",
Guizhou,Wuchuan,170,Wachangping Bx Mine,38900,38900,CM Field Study,CM Field Study,
Guizhou,Wuchuan,171,Un-assigned,-,18100,???????????????????????????????  http://www.chinadaily.com.cn/dfpd/guizhou_caijing/2011-09-27/content_3905706.html,???????????????????????????????  http://www.chinadaily.com.cn/dfpd/guizhou_caijing/2011-09-27/content_3905706.html,
Guizhou,Xifeng,172,Guizhou province Xifeng County Hongda Company Hongfeng Bauxite Mine,95,95,BHL2008,BHL2008,
Guizhou,Xifeng,173,"Guizhou province Xifeng County Hotspring Ore Resources Develop Co., Ltd. Ganzi Bauxite Mine",437,437,BHL2008,BHL2008,
Guizhou,Xifeng,174,Xifeng County Fengyuan Bauxite Mine Plant Dashan Bauxite Mine,118,118,BHL2008,BHL2008,
Guizhou,Xifeng,175,Xifeng County Wenquan Town Ore Product CompanyYi'an Bauxite Mine,288,288,BHL2008,BHL2008,
Guizhou,Xifeng,176,Xifeng County Wujiang Mine,921,921,BHL2008,BHL2008,
Guizhou,Xiuwen,177,Gupu,4034,5048,"?????????????????????, http://www.xiuwen.gov.cn/XWGOV/B/01/9187.shtml, ????????, http://www.docin.com/p-516544345.html, ?????????? ?????????????????????, http://www.gzgtzy.gov.cn/Html/2010/12/21/20101221_094241_19622.html, , http://www.hbj.anshun.gov.cn/images/hjgl/hjpj/jsxmgl/jsxmslgs/2015/12/11/131bc1be-f886-47c5-8271-a9c1084340b6.pdf","?????????????????????, http://www.xiuwen.gov.cn/XWGOV/B/01/9187.shtml, ????????, http://www.docin.com/p-516544345.html, ?????????? ?????????????????????, http://www.gzgtzy.gov.cn/Html/2010/12/21/20101221_094241_19622.html, , http://www.hbj.anshun.gov.cn/images/hjgl/hjpj/jsxmgl/jsxmslgs/2015/12/11/131bc1be-f886-47c5-8271-a9c1084340b6.pdf",
Guizhou,Xiuwen,178,Xiaoshanba,13794,15100,"?????????????????, http://www.dalilvcai.com/teach/show.php?itemid-492.html, ?????????????????, http://www.dalilvcai.com/teach/show.php?itemid-492.html","?????????????????, http://www.dalilvcai.com/teach/show.php?itemid-492.html, ?????????????????, http://www.dalilvcai.com/teach/show.php?itemid-492.html",
Guizhou,Xiuwen,179,CHALCO Guizhou province 1st Bauxite Mine,16578,16578,BHL2008,BHL2008,
Guizhou,Xiuwen,180,Ganba,9395,9395,????????????????? http://www.dalilvcai.com/teach/show.php?itemid-492.html,????????????????? http://www.dalilvcai.com/teach/show.php?itemid-492.html,
Guizhou,Xiuwen,181,Longchang Ganba two-five Team,4920.2,4920.2,???????????????? http://www.bidnews.cn/xiangmu/zhaobiao-49914.html,???????????????? http://www.bidnews.cn/xiangmu/zhaobiao-49914.html,
Guizhou,Xiuwen,182,Xiuwen County Dadouchang Mine,8556,8556,BHL2008,BHL2008,
Guizhou,Xiuwen,183,Xiuwen County Changchong Mine,8630,8630,????????????????? http://www.dalilvcai.com/teach/show.php?itemid-492.html,????????????????? http://www.dalilvcai.com/teach/show.php?itemid-492.html,
Guizhou,Xiuwen,184,Guiyang City Xiuwen County Shunda Ore Products Shop Xiaotun Mine,221,221,BHL2008,BHL2008,
Guizhou,Xiuwen,185,Guiyang CityXiuwen County Shundajindong Mine,492,492,BHL2008,BHL2008,
Guizhou,Xiuwen,186,Guizhou province Aluminum Plant1st Mine,60,60,BHL2008,BHL2008,
Guizhou,Xiuwen,187,Guizhou province Xiuwen County Refactory Longchang Town Qingshuitang Bauxite Mine,552,552,BHL2008,BHL2008,
Guizhou,Xiuwen,188,"PLA0276army once exploited, stop production now.",46,46,BHL2008,BHL2008,
Guizhou,Xiuwen,189,Xiuwen County Bainitian Bauxite Mine Calcination Plant,182,182,BHL2008,BHL2008,
Guizhou,Xiuwen,190,Xiuwen County Chengguanzhen Yangjiazhai Village Honghuang Bauxite Mine,2024,2024,BHL2008,BHL2008,
Guizhou,Xiuwen,191,Xiuwen County Yinding,201,574,CM Research - geology note,CM Research - geology note,
Guizhou,Xiuwen,192,Xiuwen County Mining Development and Service Company Keshuipo Mine,215,215,BHL2008,BHL2008,
Guizhou,Xiuwen,193,Xiuwen County Muli Mine,7877,7877,BHL2008,BHL2008,
Guizhou,Xiuwen,194,Xiuwen County Non-ferrous Bauxite Mine,104,104,BHL2008,BHL2008,
Guizhou,Xiuwen,195,Guizhou province Shaozishao Fruit Tree Garden,120,120,BHL2008,BHL2008,
Guizhou,Xiuwen,196,Xiuwen County Sanfeng Al-Fe Mine,340,340,BHL2008,BHL2008,
Guizhou,Xiuwen,197,Xiuwen County Shangtong Mine,3502,3502,BHL2008,BHL2008,
Guizhou,Xiuwen,198,Xiuwen County Tianmashan Bauxite Mine,716,716,BHL2008,BHL2008,
Guizhou,Xiuwen,199,Xiuwen County Yuba Mine,2545,2545,BHL2008,BHL2008,
Guizhou,Xiuwen,200,Xiuwen County Zhuguan Mine,2340,2340,BHL2008,BHL2008,
Guizhou,Zheng'an,201,Zheng'an County Xinmu - Yanxi,28120,28120,?????????????????????-?????????????????? http://www.mlr.gov.cn/kyqsc/zrgs/tkzrgs/201412/t20141205_4579585.htm,?????????????????????-?????????????????? http://www.mlr.gov.cn/kyqsc/zrgs/tkzrgs/201412/t20141205_4579585.htm,
Guizhou,Zheng'an,202,Zheng'an County Hongguangba,21000,21000,???????????? ??????5400?? http://www.gywb.cn/content/2015-11/09/content_4116076.htm,???????????? ??????5400?? http://www.gywb.cn/content/2015-11/09/content_4116076.htm,
Guizhou,Zheng'an,203,Mazongling,15000,29000,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document,
Guizhou,Zheng'an,204,Dongshan,11000,21000,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document,
Guizhou,Zheng'an,205,Zhangjiayuan,37751.8,93392.1,????????????????????? https://wenku.baidu.com/view/6b2aa345cc22bcd127ff0c8f.html,????????????????????? https://wenku.baidu.com/view/6b2aa345cc22bcd127ff0c8f.html,
Guizhou,Zhijin,206,Zhijin County Masanglin Mine,9976,10711.7,BHL2008,BHL2008,
Guizhou,Zhijin,207,Machang Village Boduhe Bauxite Mine,4327.8,4327.8,????????????????????????????????????????? http://www.chalco-gzfgs.com/xwgg/newscontent0.aspx?TabID=NEWS20121105165536428033,????????????????????????????????????????? http://www.chalco-gzfgs.com/xwgg/newscontent0.aspx?TabID=NEWS20121105165536428033,
Guizhou,Zhijin,208,Yinghe Village Xiangshuiba Bx mine,632.3,632.3,http://www.mlr.gov.cn/kyqsc/zrgs/ckzrgs/201508/t20150814_4989471.htm,http://www.mlr.gov.cn/kyqsc/zrgs/ckzrgs/201508/t20150814_4989471.htm,
Guizhou,Zunyi,209,Goujiang Huilong,12332,12332,BHL2008,BHL2008,
Guizhou,Zunyi,210,Liutang Bx mine,1679,3447,http://www.zypg.gov.cn/htm/article/2016-3/28/0001043070.htm,http://www.zypg.gov.cn/htm/article/2016-3/28/0001043070.htm,
Guizhou,Zunyi,211,Tuanxi & Houcao,29285,29285,????????????????? http://www.dalilvcai.com/teach/show.php?itemid-492.html,????????????????? http://www.dalilvcai.com/teach/show.php?itemid-492.html,
Guizhou,Zunyi,212,Xianrenyan,15432.6,15432.6,?????????????????? http://www.doc88.com/p-9167247185556.html,?????????????????? http://www.doc88.com/p-9167247185556.html,
Guizhou,Zunyi,213,Zunyi County Fufa Calcination Plant,53,53,BHL2008,BHL2008,
Guizhou,Zunyi,214,Zunyi County Fuxin-Kendi Bauxite Mine Dabaiyan Mine,628,628,BHL2008,BHL2008,
Guizhou,Zunyi,215,Zunyi County Gongjiadashan Mine,2344,2344,BHL2008,BHL2008,
Guizhou,Zunyi,216,Zunyi County Maoli Fuxing Bauxite Prospecting,98,106,REF 08-13 New Discoveries Document ,REF 08-13 New Discoveries Document ,
Guizhou,Zunyi,217,Zunyi County Sancha Town Bauxite Mine,418,418,BHL2008,BHL2008,
Guizhou,Zunyi,218,Zunyi County Sanhe Town Yanhe Village Xiongxin Bauxite Mine,352,352,BHL2008,BHL2008,
Guizhou,Zunyi,219,Hetaowo Bauxite Mine,5307,5307,BHL2008,BHL2008,
