day_id,Date,CBIX1,CBIX2
day_241,0,0,0
day_240,0,0,0
day_239,0,0,0
day_238,0,0,0
day_237,0,0,0
day_236,0,0,0
day_235,0,0,0
day_234,0,0,0
day_233,0,0,0
day_232,0,0,0
day_231,0,0,0
day_230,0,0,0
day_229,0,0,0
day_228,0,0,0
day_227,0,0,0
day_226,0,0,0
day_225,0,0,0
day_224,0,0,0
day_223,0,0,0
day_222,0,0,0
day_221,0,0,0
day_220,0,0,0
day_219,0,0,0
day_218,0,0,0
day_217,0,0,0
day_216,0,0,0
day_215,0,0,0
day_214,0,0,0
day_213,0,0,0
day_212,0,0,0
day_211,0,0,0
day_210,0,0,0
day_209,0,0,0
day_208,0,0,0
day_207,0,0,0
day_206,0,0,0
day_205,0,0,0
day_204,0,0,0
day_203,0,0,0
day_202,0,0,0
day_201,0,0,0
day_200,0,0,0
day_199,0,0,0
day_198,0,0,0
day_197,0,0,0
day_196,0,0,0
day_195,0,0,0
day_194,0,0,0
day_193,0,0,0
day_192,0,0,0
day_191,0,0,0
day_190,0,0,0
day_189,0,0,0
day_188,0,0,0
day_187,0,0,0
day_186,0,0,0
day_185,0,0,0
day_184,0,0,0
day_183,0,0,0
day_182,0,0,0
day_181,0,0,0
day_180,0,0,0
day_179,0,0,0
day_178,0,0,0
day_177,0,0,0
day_176,0,0,0
day_175,0,0,0
day_174,0,0,0
day_173,0,0,0
day_172,0,0,0
day_171,0,0,0
day_170,0,0,0
day_169,0,0,0
day_168,0,0,0
day_167,0,0,0
day_166,0,0,0
day_165,0,0,0
day_164,0,0,0
day_163,0,0,0
day_162,0,0,0
day_161,0,0,0
day_160,0,0,0
day_159,0,0,0
day_158,0,0,0
day_157,0,0,0
day_156,0,0,0
day_155,0,0,0
day_154,0,0,0
day_153,0,0,0
day_152,0,0,0
day_151,0,0,0
day_150,0,0,0
day_149,0,0,0
day_148,0,0,0
day_147,0,0,0
day_146,0,0,0
day_145,0,0,0
day_144,0,0,0
day_143,0,0,0
day_142,0,0,0
day_141,0,0,0
day_140,0,0,0
day_139,0,0,0
day_138,0,0,0
day_137,0,0,0
day_136,0,0,0
day_135,0,0,0
day_134,0,0,0
day_133,0,0,0
day_132,0,0,0
day_131,0,0,0
day_130,0,0,0
day_129,0,0,0
day_128,0,0,0
day_127,0,0,0
day_126,0,0,0
day_125,0,0,0
day_124,0,0,0
day_123,0,0,0
day_122,0,0,0
day_121,0,0,0
day_120,0,0,0
day_119,0,0,0
day_118,0,0,0
day_117,0,0,0
day_116,0,0,0
day_115,0,0,0
day_114,0,0,0
day_113,0,0,0
day_112,0,0,0
day_111,0,0,0
day_110,0,0,0
day_109,0,0,0
day_108,0,0,0
day_107,0,0,0
day_106,0,0,0
day_105,0,0,0
day_104,0,0,0
day_103,0,0,0
day_102,0,0,0
day_101,0,0,0
day_100,0,0,0
day_99,0,0,0
day_98,0,0,0
day_97,0,0,0
day_96,0,0,0
day_95,0,0,0
day_94,0,0,0
day_93,0,0,0
day_92,0,0,0
day_91,0,0,0
day_90,0,0,0
day_89,0,0,0
day_88,0,0,0
day_87,0,0,0
day_86,0,0,0
day_85,0,0,0
day_84,0,0,0
day_83,0,0,0
day_82,0,0,0
day_81,0,0,0
day_80,0,0,0
day_79,0,0,0
day_78,0,0,0
day_77,0,0,0
day_76,0,0,0
day_75,0,0,0
day_74,0,0,0
day_73,0,0,0
day_72,0,0,0
day_71,0,0,0
day_70,0,0,0
day_69,0,0,0
day_68,0,0,0
day_67,0,0,0
day_66,0,0,0
day_65,0,0,0
day_64,0,0,0
day_63,0,0,0
day_62,0,0,0
day_61,0,0,0
day_60,0,0,0
day_59,0,0,0
day_58,0,0,0
day_57,0,0,0
day_56,0,0,0
day_55,0,0,0
day_54,0,0,0
day_53,0,0,0
day_52,0,0,0
day_51,0,0,0
day_50,0,0,0
day_49,0,0,0
day_48,0,0,0
day_47,0,0,0
day_46,0,0,0
day_45,0,0,0
day_44,0,0,0
day_43,0,0,0
day_42,0,0,0
day_41,0,0,0
day_40,0,0,0
day_39,0,0,0
day_38,0,0,0
day_37,0,0,0
day_36,0,0,0
day_35,0,0,0
day_34,0,0,0
day_33,0,0,0
day_32,0,0,0
day_31,0,0,0
day_30,0,0,0
day_29,0,0,0
day_28,0,0,0
day_27,0,0,0
day_26,0,0,0
day_25,0,0,0
day_24,0,0,0
day_23,0,0,0
day_22,0,0,0
day_21,0,0,0
day_20,0,0,0
day_19,0,0,0
day_18,0,0,0
day_17,0,0,0
day_16,0,0,0
day_15,0,0,0
day_14,0,0,0
day_13,0,0,0
day_12,0,0,0
day_11,0,0,0
day_10,0,0,0
day_9,0,0,0
day_8,0,0,0
day_7,0,0,0
day_6,0,0,0
day_5,0,0,0
day_4,0,0,0
day_3,0,0,0
day_2,0,0,0
day_1,0,0,0
