Exporter,Importer,Importer.Exporter Combination,2019_10,2019_11,2019_12,Total
Guinea,Canada,Canada_Guinea,0.064719,0.053283,0.065162,0.183164
Guyana,Canada,Canada_Guyana,0.000289,0.000291,0.000332,0.000912
Italy,Canada,Canada_Italy,0,0,0,0.0
Mexico,Canada,Canada_Mexico,0,0,0,0.0
Netherlands,Canada,Canada_Netherlands,0,0,0,0.0
Sierra Leone,Canada,Canada_Sierra Leone,0,0,0,0.0
Singapore,Canada,Canada_Singapore,0,5.7e-05,0,5.7e-05
South Africa,Canada,Canada_South Africa,0,0,0,0.0
Turkey,Canada,Canada_Turkey,0.010325,0,0.020593455,0.030918455
United Kingdom,Canada,Canada_United Kingdom,0,0,0,0.0
United States,Canada,Canada_United States,0.0011765,0.00038700000000000003,0.0007405000000000001,0.002304
United States,Cayman Islands,Cayman Islands_United States,0,0,6e-06,6e-06
Spain,Ceuta,Ceuta_Spain,0,0,0,0.0
Canada,Chile,Chile_Canada,7.285e-07,7.285e-07,7.285e-07,2.1855e-06
United States,Chile,Chile_United States,0,0,0,0.0
Australia,China,China_Australia,3.4311394605,3.632511968,3.3142628696666665,10.507915
Brazil,China,China_Brazil,0,0.29517962799999997,0,0.29518
Germany,China,China_Germany,0,2.4166666666666667e-06,2.4166666666666667e-06,
Ghana,China,China_Ghana,2.8605833333333333e-05,0,2.8605833333333333e-05,0.0
Guinea,China,China_Guinea,1.6597301990000002,1.8584871459999999,3.323285115,6.841499
Guyana,China,China_Guyana,0,0,4.3e-08,0.0
India,China,China_India,0,0.036493206666666674,0.036493206666666674,0.0
Indonesia,China,China_Indonesia,1.3184568175,1.563312239,1.3435191570416665,4.139552
Ireland,China,China_Ireland,0,0,0,
Jamaica,China,China_Jamaica,0.00820789,0.013061989999999999,0,0.02127
Madagascar,China,China_Madagascar,0,0,0,
Malaysia,China,China_Malaysia,0.0659909565,0.043746677750000004,0.060486340750000006,0.098952
Montenegro,China,China_Montenegro,0.057993340000000004,0.086794517,0.05273767345833333,0.197497
Pakistan,China,China_Pakistan,0,9.999999999999999e-10,0,
Philippines,China,China_Philippines,0,0,0,
Saudi Arabia,China,China_Saudi Arabia,0,0,0,0.0
Sierra Leone,China,China_Sierra Leone,0,0,0,0.0
Solomon Islands,China,China_Solomon Islands,0.1186575,0.05535,0.1710015,0.34501
Spain,China,China_Spain,0,0,4.350000000000001e-05,
Turkey,China,China_Turkey,0.03801116,0.09839904,0.020920022583333333,0.125617
United States,China,China_United States,4e-05,0.000916,0.00012,
Vietnam,China,China_Vietnam,0,0,0,0.0
Brazil,Colombia,Colombia_Brazil,1.7964e-05,0,4e-06,2.1964e-05
India,Colombia,Colombia_India,0,2.0833333333333334e-06,2.0833333333333334e-06,4.166666666666667e-06
Brazil,Croatia,Croatia_Brazil,0,0,0,0.0
China,Croatia,Croatia_China,0.000504,0.00132,0.001512,0.0033360000000000004
Greece,Croatia,Croatia_Greece,0.004976,0,0.002111166666666667,0.007087166666666667
Montenegro,Croatia,Croatia_Montenegro,0,0,6.255e-06,6.255e-06
Turkey,Croatia,Croatia_Turkey,0,0.0015,0.0012958333333333333,0.0027958333333333333
India,Cuba,Cuba_India,0,2.5e-05,2.5e-05,5e-05
Spain,Cuba,Cuba_Spain,0,0,3.3249999999999995e-05,3.3249999999999995e-05
France,Czech Republic,Czech Republic_France,3e-06,0,7.916666666666667e-06,1.0916666666666667e-05
Germany,Czech Republic,Czech Republic_Germany,0.000255,0.0007941666666666667,0.0007941666666666667,0.0018433333333333331
Montenegro,Czech Republic,Czech Republic_Montenegro,0.001375,0.0020800000000000003,0.00042475016666666663,0.003879750166666667
United States,Czech Republic,Czech Republic_United States,0,0,0,0.0
Brazil,Denmark,Denmark_Brazil,0,0.00013472999999999998,0.002074842,0.002209572
Germany,Denmark,Denmark_Germany,1.5e-05,5.4416666666666663e-05,5.4416666666666663e-05,0.00012383333333333333
United States,Ecuador,Ecuador_United States,0,0,0,0.0
Turkey,FTZ-Yumurtalik,FTZ-Yumurtalik_Turkey,0.005,0,0.006253825,0.011253825
Germany,Finland,Finland_Germany,0,1.4166666666666667e-06,1.4166666666666667e-06,2.8333333333333335e-06
Russia,Finland,Finland_Russia,0,0,2.232833333333333e-06,2.232833333333333e-06
Australia,France,France_Australia,0,0,0.0,0.0
Austria,France,France_Austria,0,0,7.766666666666665e-05,7.766666666666665e-05
Belgium,France,France_Belgium,0.000374,0.00046,0.00056425,0.00139825
Brazil,France,France_Brazil,0,0,6.3e-08,6.3e-08
China,France,France_China,0,0.015383,0.0059825899999999994,0.02136559
Estonia,France,France_Estonia,0,0,1.6666666666666665e-07,1.6666666666666665e-07
Germany,France,France_Germany,5.25e-05,0.0004255416666666667,0.0010595833333333332,0.001537625
Greece,France,France_Greece,0.02203,0.027986,0.019762583333333333,0.06977858333333334
Guinea,France,France_Guinea,0.066806,0,0.08596183333333335,0.15276783333333335
Guyana,France,France_Guyana,0,0,0.0017437499999999999,0.0017437499999999999
India,France,France_India,0,7.866699999999998e-05,0.00011595849999999998,0.00019462549999999998
Italy,France,France_Italy,0.000444,0.000374,0.0012135833333333332,0.002031583333333333
Luxembourg,France,France_Luxembourg,0,0,1.7083333333333333e-05,1.7083333333333333e-05
Madagascar,France,France_Madagascar,0,0,0.0,0.0
Montenegro,France,France_Montenegro,0,0,2.5850833333333333e-05,2.5850833333333333e-05
Netherlands,France,France_Netherlands,0.000697,5e-06,2.1833333333333337e-05,0.0007238333333333334
Niger,France,France_Niger,0,0,0.0,0.0
Spain,France,France_Spain,7.9e-05,1e-06,6.545833333333333e-05,0.00014545833333333332
Turkey,France,France_Turkey,0.0085,0,0.0016041666666666665,0.010104166666666668
United Kingdom,France,France_United Kingdom,0.000493,0.000258,0.00041541666666666674,0.0011664166666666667
United States,France,France_United States,0,0,2.1666666666666665e-06,2.1666666666666665e-06
Turkey,Georgia,Georgia_Turkey,0,0.0046,0,0.0046
Austria,Germany,Germany_Austria,0,1.6666666666666669e-06,1.6666666666666669e-06,3.3333333333333337e-06
Belgium,Germany,Germany_Belgium,5.3e-05,0.00016166666666666668,0.00016166666666666668,0.00037633333333333334
Brazil,Germany,Germany_Brazil,0,0.030967875000000002,0.0045354235,0.0355032985
China,Germany,Germany_China,0.000998,0.002866166666666666,0.002866166666666666,0.006730333333333332
Czech Republic,Germany,Germany_Czech Republic,0,0.0,0.0,0.0
Denmark,Germany,Germany_Denmark,0,2.25e-06,2.25e-06,4.5e-06
France,Germany,Germany_France,0.002091,4.208333333333333e-06,0.001260541666666667,0.0033557500000000002
Ghana,Germany,Germany_Ghana,0,5.305e-05,0.0,5.305e-05
Guinea,Germany,Germany_Guinea,0.244167,0.1769594166666667,0.1769594166666667,0.5980858333333334
India,Germany,Germany_India,0.0002,0.00019408645833333336,0.00019408645833333336,0.0005881729166666667
Italy,Germany,Germany_Italy,8.1e-05,2.1e-05,2.1e-05,0.000123
Latvia,Germany,Germany_Latvia,0,0.00016666666666666666,0.00016666666666666666,0.0003333333333333333
Luxembourg,Germany,Germany_Luxembourg,0.000269,0.00038508333333333336,0.00038508333333333336,0.0010391666666666668
Montenegro,Germany,Germany_Montenegro,3.9999999999999994e-09,0.0,0.0,3.9999999999999994e-09
Netherlands,Germany,Germany_Netherlands,0.001416,0.0024047499999999998,0.0024047499999999998,0.006225499999999999
Slovenia,Germany,Germany_Slovenia,0,2e-06,2e-06,4e-06
Spain,Germany,Germany_Spain,0,1.475e-05,1.3666666666666666e-05,2.8416666666666665e-05
Sweden,Germany,Germany_Sweden,3e-05,1.2499999999999999e-05,1.2499999999999999e-05,5.5e-05
Switzerland,Germany,Germany_Switzerland,2.3e-05,6.333333333333333e-06,6.333333333333333e-06,3.566666666666667e-05
Turkey,Germany,Germany_Turkey,0,0.0006666666666666666,0.001,0.0016666666666666666
United Kingdom,Germany,Germany_United Kingdom,0.000222,0.0006106666666666666,0.0006106666666666666,0.0014433333333333331
United States,Germany,Germany_United States,3.8e-05,1.9e-05,1.9e-05,7.6e-05
Brazil,Greece,Greece_Brazil,0.0457985,0.04734,0.07258408333333334,0.16572258333333334
China,Greece,Greece_China,9.6e-05,0,0.00010875000000000001,0.00020475000000000002
Germany,Greece,Greece_Germany,0,8.166666666666666e-06,1.0333333333333332e-05,1.8499999999999996e-05
Guinea,Greece,Greece_Guinea,0,0,0.007455583333333332,0.007455583333333332
Montenegro,Greece,Greece_Montenegro,0,0,0.000584133875,0.000584133875
Netherlands,Greece,Greece_Netherlands,1e-06,1e-06,8.333333333333332e-07,2.833333333333333e-06
Turkey,Greece,Greece_Turkey,0.0060055,0.0060184999999999995,0.01196679975,0.02399079975
India,Guatemala,Guatemala_India,5e-05,1.25e-05,1.25e-05,7.500000000000001e-05
Australia,Guinea,Guinea_Australia,0,0,0,0.0
India,Guinea,Guinea_India,0,1.6666666666666667e-08,1.6666666666666667e-08,3.3333333333333334e-08
Germany,Hungary,Hungary_Germany,0,9.175000000000002e-05,9.175000000000002e-05,0.00018350000000000004
Brazil,India,India_Brazil,0.0011317319999999999,0.03427433333333333,0.03427433333333333,0.06968039866666667
China,India,India_China,0.005804,0.004513995833333334,0.004513995833333334,0.014831991666666666
Germany,India,India_Germany,0,2.083333333333333e-08,2.083333333333333e-08,4.166666666666666e-08
Ghana,India,India_Ghana,5.1750000000000004e-06,0.0,5.1750000000000004e-06,1.0350000000000001e-05
Guinea,India,India_Guinea,0.225571,0.08432925499999999,0.08432925499999999,0.39422950999999995
Guyana,India,India_Guyana,0,0.00011084833333333334,0.00011084833333333334,0.00022169666666666668
Hong Kong,India,India_Hong Kong,0.0008539999999999999,0.0007278333333333334,0.0007278333333333334,0.0023096666666666665
Montenegro,India,India_Montenegro,2.5000000000000002e-08,0.0,8.333333333333334e-10,2.5833333333333336e-08
Netherlands,India,India_Netherlands,7e-06,1.9e-05,1.9e-05,4.5e-05
Pakistan,India,India_Pakistan,0,0.004518333333333333,0.004518333333333333,0.009036666666666667
Poland,India,India_Poland,0,8.333333333333334e-09,8.333333333333334e-09,1.6666666666666667e-08
Sierra Leone,India,India_Sierra Leone,0,0.004670833333333333,0.004670833333333333,0.009341666666666667
Singapore,India,India_Singapore,0.000825,0.00035,0.00035,0.001525
Solomon Islands,India,India_Solomon Islands,0,0.0038565833333333334,0.0038565833333333334,0.007713166666666667
Sweden,India,India_Sweden,0,8.333333333333334e-09,8.333333333333334e-09,1.6666666666666667e-08
Taiwan,India,India_Taiwan,0,1.25e-08,1.25e-08,2.5e-08
Trinidad & Tobago,India,India_Trinidad & Tobago,0,0.013483083333333333,0.013483083333333333,0.026966166666666666
Ukraine,India,India_Ukraine,0,6.5e-06,6.5e-06,1.3e-05
United Arab Emirates,India,India_United Arab Emirates,0.0001,3.50855e-05,3.50855e-05,0.00017017100000000002
United States,India,India_United States,0,1.0002208333333334e-05,4.4166666666666665e-09,1.0006625e-05
Australia,Indonesia,Indonesia_Australia,0,0,5.770833333333334e-06,5.770833333333334e-06
Brazil,Indonesia,Indonesia_Brazil,0,3.7499999999999997e-06,0.0,3.7499999999999997e-06
China,Indonesia,Indonesia_China,0,0,6.616833333333334e-06,6.616833333333334e-06
Germany,Indonesia,Indonesia_Germany,0,1.3416666666666668e-05,3.461791666666666e-05,4.803458333333333e-05
India,Indonesia,Indonesia_India,0.000125,9.166666666666667e-05,5.833333333333333e-05,0.00027499999999999996
"Korea, South",Indonesia,"Indonesia_Korea, South",1.2326e-05,0,9.577083333333333e-06,2.1903083333333334e-05
Netherlands,Indonesia,Indonesia_Netherlands,0,5.9999999999999995e-05,1.1916666666666667e-05,7.191666666666666e-05
United Kingdom,Indonesia,Indonesia_United Kingdom,3.9999999999999994e-09,0,0.0,3.9999999999999994e-09
United States,Indonesia,Indonesia_United States,0,0,3.3333333333333327e-10,3.3333333333333327e-10
China,Iran,Iran_China,0.00018750000000000003,0.00018750000000000003,0.00018750000000000003,0.0005625000000000001
India,Iran,Iran_India,0.0,1.6666666666666667e-08,1.6666666666666667e-08,3.3333333333333334e-08
Turkey,Iran,Iran_Turkey,2.7083333333333332e-05,2.7083333333333332e-05,1.4583333333333333e-05,6.874999999999999e-05
United Arab Emirates,Iran,Iran_United Arab Emirates,0.00016433333333333336,0.00016433333333333336,0.00016433333333333336,0.0004930000000000001
Iran,Iraq,Iraq_Iran,0.0007061400000000001,0.0007061400000000001,0.0007061400000000001,0.00211842
Brazil,Ireland,Ireland_Brazil,0.16518,0.0752205,0.13605629166666666,0.3764567916666667
Germany,Ireland,Ireland_Germany,0,0.00888,0.0,0.00888
Greece,Ireland,Ireland_Greece,0,0,0.0008668333333333333,0.0008668333333333333
Guinea,Ireland,Ireland_Guinea,0.248695,0.236121,0.2784545,0.7632705
Not Determin Extra EU Trade,Ireland,Ireland_Not Determin Extra EU Trade,0,0,0.0,0.0
Turkey,Ireland,Ireland_Turkey,0.0060750000000000005,0.0049125,0.0029858333333333334,0.013973333333333334
United Kingdom,Ireland,Ireland_United Kingdom,0.000168,0.00015,0.0007606666666666665,0.0010786666666666666
United States,Ireland,Ireland_United States,0,0,1.3333333333333335e-05,1.3333333333333335e-05
Greece,Israel,Israel_Greece,0,0,8.333333333333334e-07,8.333333333333334e-07
Turkey,Israel,Israel_Turkey,0.0101,0.01,0.004175000000000001,0.024275
United States,Israel,Israel_United States,0,0,0,0.0
China,Italy,Italy_China,0,0,0,0.0
France,Italy,Italy_France,0.001425,1.3e-05,0.0012365,0.0026745
Germany,Italy,Italy_Germany,2e-06,2.6166666666666665e-05,2.6166666666666665e-05,5.433333333333333e-05
Greece,Italy,Italy_Greece,0,0,0.0009545833333333333,0.0009545833333333333
India,Italy,Italy_India,0.000252,0.0003983333333333334,0.0003983333333333334,0.0010486666666666667
Spain,Italy,Italy_Spain,0,0,0.00029741666666666664,0.00029741666666666664
Brazil,Japan,Japan_Brazil,2.1000000000000002e-05,0,0,2.1000000000000002e-05
China,Japan,Japan_China,2.075e-06,2e-05,0,2.2075e-05
Germany,Japan,Japan_Germany,4.9e-05,2.8916666666666664e-05,2.8916666666666664e-05,0.00010683333333333332
India,Japan,Japan_India,0,4.333333333333334e-05,4.333333333333334e-05,8.666666666666668e-05
Germany,Kazakhstan,Kazakhstan_Germany,2.7e-05,2.0416666666666667e-05,2.0416666666666667e-05,6.783333333333333e-05
Russia,Kazakhstan,Kazakhstan_Russia,4e-06,0,7.666666666666666e-06,1.1666666666666665e-05
India,Kenya,Kenya_India,5.0000000000000004e-08,0,0,5.0000000000000004e-08
Australia,"Korea, South","Korea, South_Australia",0.0495,0.0495,0.03023991666666666,0.12923991666666668
China,"Korea, South","Korea, South_China",0.00046,0.0005600000000000001,0.00023999999999999998,0.00126
India,"Korea, South","Korea, South_India",0.0001106,4.316666666666667e-05,4.316666666666667e-05,0.00019693333333333334
United States,"Korea, South","Korea, South_United States",0,0,0,0.0
India,Kuwait,Kuwait_India,0,0.02488358333333333,0.02488358333333333,0.04976716666666666
Germany,Latvia,Latvia_Germany,0,0.0001675,0.0001675,0.000335
Greece,Latvia,Latvia_Greece,0,0,0.0001675,0.0001675
Spain,Lebanon,Lebanon_Spain,0,0,0,0.0
Brazil,Luxembourg,Luxembourg_Brazil,0,0,3e-09,3e-09
France,Luxembourg,Luxembourg_France,2.3e-05,1.6e-05,4.858333333333333e-05,8.758333333333334e-05
Germany,Luxembourg,Luxembourg_Germany,0,8.166666666666666e-06,8.166666666666666e-06,1.633333333333333e-05
Germany,Macedonia,Macedonia_Germany,0,2e-06,2e-06,4e-06
China,Malaysia,Malaysia_China,0.000232334,0.0007392045833333334,0.0007392045833333334,0.0017107431666666668
Germany,Malaysia,Malaysia_Germany,2.01e-05,7.0887500000000005e-06,7.0887500000000005e-06,3.4277500000000005e-05
India,Malaysia,Malaysia_India,1.4999999999999999e-05,4.3750000000000005e-06,4.3750000000000005e-06,2.375e-05
Singapore,Malaysia,Malaysia_Singapore,0,1.2291666666666665e-07,1.2291666666666665e-07,2.458333333333333e-07
Taiwan,Malaysia,Malaysia_Taiwan,0,1.3125e-06,1.3125e-06,2.625e-06
Thailand,Malaysia,Malaysia_Thailand,6.064e-06,6.947166666666667e-06,6.947166666666667e-06,1.9958333333333335e-05
Brazil,Mexico,Mexico_Brazil,0,0,0,0.0
India,Mexico,Mexico_India,0,1.6675000000000002e-05,1.6675000000000002e-05,3.3350000000000004e-05
Spain,Mexico,Mexico_Spain,0,6e-05,3.7499999999999997e-06,6.375e-05
United States,Mexico,Mexico_United States,0.001145,0.000909,2.8e-05,0.0020819999999999996
Turkey,Moldova,Moldova_Turkey,0,0,0.00017916666666666667,0.00017916666666666667
Spain,Morocco,Morocco_Spain,0,0,3.333333333333333e-07,3.333333333333333e-07
India,Nepal,Nepal_India,0.012129000000000001,0.012119068333333332,0.012119068333333332,0.03636713666666666
Australia,Netherlands,Netherlands_Australia,0,2e-06,0,2e-06
Brazil,Netherlands,Netherlands_Brazil,0,0,2.5e-05,2.5e-05
France,Netherlands,Netherlands_France,0.000753,6e-06,0.00044524999999999995,0.00120425
Germany,Netherlands,Netherlands_Germany,5.2e-05,5.575e-05,5.575e-05,0.0001635
Spain,Netherlands,Netherlands_Spain,0,0,0,0.0
Turkey,Netherlands,Netherlands_Turkey,0,0,0.003908333333333333,0.003908333333333333
United States,Netherlands,Netherlands_United States,1.6e-05,0,0,1.6e-05
Australia,New Zealand,New Zealand_Australia,0,0,1.1666666666666666e-06,1.1666666666666666e-06
India,New Zealand,New Zealand_India,0,7.75e-06,7.75e-06,1.55e-05
United States,Nicaragua,Nicaragua_United States,0,0,0,0.0
India,Nigeria,Nigeria_India,0,1.25e-05,1.25e-05,2.5e-05
Greece,Norway,Norway_Greece,0,1.6e-05,1.6666666666666665e-07,1.6166666666666665e-05
Spain,Norway,Norway_Spain,0,0,0,0.0
Brazil,Oman,Oman_Brazil,0.00040419,0.000997002,0,0.001401192
India,Oman,Oman_India,0,0.0014166666666666668,0.0014166666666666668,0.0028333333333333335
Australia,Papua New Guinea,Papua New Guinea_Australia,0,0,1.6666666666666665e-07,1.6666666666666665e-07
Brazil,Peru,Peru_Brazil,2.75e-05,0,0,2.75e-05
Turkey,Peru,Peru_Turkey,0,0.035,0.0033000000000000004,0.0383
United States,Peru,Peru_United States,0,0,4.2e-05,4.2e-05
Germany,Philippines,Philippines_Germany,0,8.333333333333332e-11,8.333333333333332e-11,1.6666666666666663e-10
Greece,Philippines,Philippines_Greece,1.25e-07,0.0,0.0,1.25e-07
Malaysia,Philippines,Philippines_Malaysia,0,1.5833333333333334e-09,1.5833333333333334e-09,3.166666666666667e-09
Canada,Poland,Poland_Canada,3.363333333333333e-07,3.363333333333333e-07,3.363333333333333e-07,1.009e-06
China,Poland,Poland_China,0,0,0,0.0
France,Poland,Poland_France,0.000612,1e-06,0.0008256666666666667,0.0014386666666666667
Germany,Poland,Poland_Germany,0.000621,0.00023083333333333332,0.00023083333333333332,0.0010826666666666667
Montenegro,Poland,Poland_Montenegro,0.00142807,0.00141635,0.0012977033333333333,0.004142123333333333
Spain,Poland,Poland_Spain,0,0,4.666666666666666e-06,4.666666666666666e-06
Turkey,Poland,Poland_Turkey,0.00034314,0,0.0006516655833333332,0.000994805583333333
Ukraine,Poland,Poland_Ukraine,1.8333333333333333e-06,1.8333333333333333e-06,1.8333333333333333e-06,5.5e-06
Brazil,Portugal,Portugal_Brazil,0,0,0,0.0
Spain,Portugal,Portugal_Spain,1e-05,0,6.666666666666666e-06,1.6666666666666667e-05
Brazil,Qatar,Qatar_Brazil,3.5999999999999994e-05,0,0,3.5999999999999994e-05
India,Qatar,Qatar_India,0.0003,0.008710128833333334,0.008710128833333334,0.01772025766666667
China,Romania,Romania_China,0,0,2.4e-05,2.4e-05
Germany,Romania,Romania_Germany,5.4e-05,3.8583333333333334e-05,3.8583333333333334e-05,0.00013116666666666667
Greece,Romania,Romania_Greece,0,0,0.00013375,0.00013375
Turkey,Romania,Romania_Turkey,0.0035,0,3.787416666666667e-06,0.003503787416666667
Brazil,Russia,Russia_Brazil,0,0,2e-06,2e-06
China,Russia,Russia_China,0.0004595,0.00027553699999999996,0.0009489695,0.0016840065
Czech Republic,Russia,Russia_Czech Republic,0,0,3.6864999999999998e-06,3.6864999999999998e-06
Germany,Russia,Russia_Germany,0,1.4166666666666667e-06,3.220833333333333e-06,4.6375e-06
Guyana,Russia,Russia_Guyana,0,0,5.038333333333333e-06,5.038333333333333e-06
India,Russia,Russia_India,0,4.9999999999999996e-06,4.9999999999999996e-06,9.999999999999999e-06
Indonesia,Russia,Russia_Indonesia,0,0,1.6666666666666669e-06,1.6666666666666669e-06
Italy,Russia,Russia_Italy,7.1830000000000005e-06,0,0.0,7.1830000000000005e-06
Latvia,Russia,Russia_Latvia,0,0,1.6566666666666665e-06,1.6566666666666665e-06
Netherlands,Russia,Russia_Netherlands,0.00017999999999999998,0,8.764999999999999e-05,0.00026765
Spain,Russia,Russia_Spain,1.4999999999999999e-05,9e-06,1.7293333333333336e-05,4.129333333333333e-05
Turkey,Russia,Russia_Turkey,0,0,7.7125e-05,7.7125e-05
Ukraine,Russia,Russia_Ukraine,0,0.00011999999999999999,0.00013491666666666665,0.00025491666666666664
United Kingdom,Russia,Russia_United Kingdom,6e-07,0,1.6666666666666669e-06,2.266666666666667e-06
Brazil,Saudi Arabia,Saudi Arabia_Brazil,0.006803446,0.0072484739999999995,0.00943107,0.02348299
India,Saudi Arabia,Saudi Arabia_India,0.0001,8.333333333333333e-05,8.333333333333333e-05,0.0002666666666666667
United States,Saudi Arabia,Saudi Arabia_United States,0,0,0,0.0
Australia,Senegal,Senegal_Australia,0,0,0.0077635,0.0077635
Ghana,Senegal,Senegal_Ghana,0.00010033333333333334,0.001288,0.00010033333333333334,0.0014886666666666668
Germany,Serbia,Serbia_Germany,0,6e-06,6e-06,1.2e-05
Greece,Serbia,Serbia_Greece,0,0,1.916666666666667e-06,1.916666666666667e-06
Germany,Slovakia,Slovakia_Germany,6.9e-05,0.00010625000000000001,0.00010625000000000001,0.0002815
Brazil,Slovenia,Slovenia_Brazil,0,0.00024466,0,0.00024466
Germany,Slovenia,Slovenia_Germany,0,2.25e-06,2.25e-06,4.5e-06
India,Slovenia,Slovenia_India,0.000433,0.0009985833333333333,0.0009985833333333333,0.0024301666666666664
Turkey,Slovenia,Slovenia_Turkey,0.000187915,0.000349725,0.00025643541666666667,0.0007940754166666667
Brazil,South Africa,South Africa_Brazil,1.1e-05,2e-06,2.2e-05,3.5e-05
India,South Africa,South Africa_India,0,6.083333333333333e-06,6.083333333333333e-06,1.2166666666666667e-05
Spain,South Africa,South Africa_Spain,0,5e-05,0,5e-05
Australia,Spain,Spain_Australia,0,0,0.0,0.0
Belgium,Spain,Spain_Belgium,0,0,0.0,0.0
Brazil,Spain,Spain_Brazil,3e-06,0,0.004645407,0.004648407
China,Spain,Spain_China,0.000668,0.000431,0.0008672500000000001,0.00196625
France,Spain,Spain_France,0.0004855,0,0.00034104166666666663,0.0008265416666666666
Germany,Spain,Spain_Germany,5e-06,0.00010091666666666668,0.0004383333333333334,0.00054425
Ghana,Spain,Spain_Ghana,0.028177347916666665,5.6962999999999997e-05,4.6958333333333326e-06,0.028239006749999997
Guinea,Spain,Spain_Guinea,0.311681,0.314624,0.31395375,0.9402587499999999
Guyana,Spain,Spain_Guyana,0,0,0.0019454166666666667,0.0019454166666666667
