Importer.Exporter Combination,Exporter,Importer,2018_10,2018_11,2018_12,2019_1,2019_10,2019_11,2019_12,2019_2,2019_3,2019_4,2019_5,2019_6,2019_7,2019_8,2019_9
Canada_Turkey,Turkey,Canada,0.0,0.0,0.04745,0,0.00065,0,0,0,0,0,0,0,0,0,0.02227
Canada_United Kingdom,United Kingdom,Canada,0.0,0.0,0.0,0,0,0,0,0,0,0,3.3e-05,0,0,0,0
Canada_United States,United States,Canada,0.009052000000000001,0.000457,0.000214,0.0072510000000000005,0.0016029999999999998,0.000375,0.0011510000000000001,0.000601,0.000371,0.002101,0.001225,0.000676,0.000789,0.000346,0.00129
Cayman Islands_United States,United States,Cayman Islands,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Ceuta_Spain,Spain,Ceuta,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Chile_Canada,Canada,Chile,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Chile_United States,United States,Chile,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
China_Australia,Australia,China,2.682117808,2.905014488,1.690758336,2.069857295,3.501281921,3.2790309360000003,3.727597906,2.790303209,2.6522142680000003,2.978499149,2.5848473739999998,2.8726698820000003,3.00949596,3.237484738,3.332871035
China_Brazil,Brazil,China,0.146096994,0.146465471,0.309494145,0.33769642,0,0.29517962799999997,0,0.21857145,0.149222044,0.146886119,0.292411252,0,0,0.144814336,0.287642748
China_Germany,Germany,China,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
China_Ghana,Ghana,China,0.0,0.11151602099999999,0.0,0.10720511999999999,0,0,0,0.050999,0.123511,0,0,0,0,0,0
China_Guinea,Guinea,China,2.545775888,2.92143263,3.797869255,4.2611414210000005,1.6597301990000002,1.8584871459999999,3.323285115,4.449045883,4.648155783,4.605451947,5.001502438,4.633450627,4.538873789,3.637560121,1.7863882169999998
China_Guyana,Guyana,China,3.086e-05,0.0,0.0,0,0,0,4.3e-08,0,1.5360000000000002e-05,0,0,0,0,8.439999999999999e-06,0.00010742
China_India,India,China,5e-05,0.05725381,0.04326894,0,0,0,0,0,0.1656112,0.16138113,0.0007398,0,0,0,5e-09
China_Indonesia,Indonesia,China,0.442929133,1.169978892,0.925556915,0.8741031930000001,1.077210053,1.502203188,1.560139765,1.199006275,1.153653374,1.413193551,1.027564847,1.1220248959999999,1.1607673809999999,1.1342565569999998,1.212020967
China_Ireland,Ireland,China,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
China_Jamaica,Jamaica,China,0.08240900000000001,0.048795000000000005,0.059365,0,0.00820789,0.013061989999999999,0,0,0.06951042700000001,0.20488503,0,0,0.025928,0.0613687,0.02831499
China_Madagascar,Madagascar,China,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,6.2e-07,0,0
China_Malaysia,Malaysia,China,0.048406410999999996,0.044228641000000006,0.16675052099999998,0,0.06547299200000001,1.4e-08,0.03347934,0.046716614999999996,0.046523136,0.138434654,0.120100573,0.06828000000000001,0.08408735,0.14985882,0
China_Montenegro,Montenegro,China,0.0,0.0,0.070749594,0,0.046766074000000005,0.086794517,0.063935613,0.060870099000000004,0,0.061782815,3.9999999999999994e-09,0.05849854,0.06903018,0,0
China_Pakistan,Pakistan,China,0.0,0.0,0.0,0,0,9.999999999999999e-10,0,0,0,0,0,0,0,0,0
China_Philippines,Philippines,China,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.1e-08
China_Saudi Arabia,Saudi Arabia,China,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,6.809999999999999e-07
China_Sierra Leone,Sierra Leone,China,0.0,6e-09,0.0,0,0,0,0,0,1e-08,0,0,0,0.049813798,0,0
China_Solomon Islands,Solomon Islands,China,0.1135275,0.16076262,0.12210044,0.14972012,0.1186575,0.05535,0.1710015,0.07661011999999999,0.0237975,0.054825000000000006,0.0485982,0.11400525,0.0513,0.221662826,0.102225
China_Spain,Spain,China,0.0,1.4109999999999999e-05,0.0,5.9825000000000004e-05,0,0,0,1.1e-05,3.6575e-05,6.405e-05,5.6e-05,0.0001014,1.96e-05,0,0
China_Turkey,Turkey,China,0.0611802,0.0,0.0,0.05212925,0.00106897,0.12454808,0,0,0,0.005324505,0.074020721,0.00050108,0.06115088,0,0
China_United States,United States,China,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
China_Vietnam,Vietnam,China,0.0,0.087458208,0.051194243,0.040572745,0,0,0,0,0,0,0.042017429,0,0,0.05620052,0
Colombia_Brazil,Brazil,Colombia,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia_India,India,Colombia,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia_Brazil,Brazil,Croatia,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia_China,China,Croatia,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia_Greece,Greece,Croatia,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia_Montenegro,Montenegro,Croatia,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia_Turkey,Turkey,Croatia,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba_India,India,Cuba,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba_Spain,Spain,Cuba,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic_France,France,Czech Republic,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic_Germany,Germany,Czech Republic,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic_Montenegro,Montenegro,Czech Republic,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic_United States,United States,Czech Republic,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark_Brazil,Brazil,Denmark,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark_Germany,Germany,Denmark,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador_United States,United States,Ecuador,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
FTZ-Yumurtalik_Turkey,Turkey,FTZ-Yumurtalik,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Finland_Germany,Germany,Finland,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Finland_Russia,Russia,Finland,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
France_Australia,Australia,France,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
France_Austria,Austria,France,0.000163,0.000565,0.000204,0,0,0,7.766666666666665e-05,0,0,0,0,0,0,0,0
France_Belgium,Belgium,France,0.000327,0.000535,0.000176,0.000542,0.000374,0.00046,0.00056425,0.000511,0.000709,0.000667,0.000582,0.00069,0.000716,0.000583,0.000733
France_Brazil,Brazil,France,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
France_China,China,France,0.000312,0.000556,0.005632,0.008092,0,0.015383,0.00316525,0.00037,0.000386,0.00048,0.007416,0.006855,0.000653,0.000192,0.007039
France_Estonia,Estonia,France,0.0,0.0,0.0,0,0,0,1.6666666666666665e-07,0,2e-06,0,0,0,0,0,0
France_Germany,Germany,France,0.008302,0.000216,0.000876,0.002049,6.6e-05,0.000776,0.002044083333333333,0.000203,0.00121,0.00044,0.001479,9.1e-05,0.008049,0.001336,0.000278
France_Greece,Greece,France,0.023196,0.017314,0.016909,0.017004,0.02203,0.027986,0.019762583333333333,0.015752,0.017261,0.024022,0.020404,0.018403,0.02205,0.022555,0.022281
France_Guinea,Guinea,France,0.0,0.130003,0.061188,0.127228,0.066806,0,0.08596183333333335,0.128304,0.067103,0.070594,0.125785,0.067096,0.067123,0.125337,0.061781
France_Guyana,Guyana,France,0.005504,0.00154,0.0,0.002061,0,0,0.0017437499999999999,0,0,0,0.0015,0,0.008819,0,0.001501
France_India,India,France,0.001067,0.000172,0.0,0,0,0,0.00015324999999999998,0,0,0,0.0003,0.0003,0,0,0
France_Italy,Italy,France,0.001876,0.000948,0.000525,0.00078,0.000444,0.000374,0.0012135833333333332,0,0.000204,1.4e-05,0.001864,0.006318,0.00136,0.000674,0
France_Luxembourg,Luxembourg,France,2e-05,0.0,2.4e-05,0,0,0,1.7083333333333333e-05,2.4e-05,2e-05,0,0,3.4e-05,5.9e-05,2.4e-05,0
France_Madagascar,Madagascar,France,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
France_Montenegro,Montenegro,France,0.0,0.0,0.0,0,0,0,2.5833333333333332e-05,0,0,0,0,0,0.000285,2.5e-05,0
France_Netherlands,Netherlands,France,2e-06,0.0,2e-06,2e-06,0.000697,5e-06,2.1833333333333337e-05,7.4e-05,2.6e-05,0.000148,3e-06,0,0,0,5e-06
France_Niger,Niger,France,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
France_Spain,Spain,France,7.4e-05,7.2e-05,0.0,9.9e-05,0,1e-06,6.316666666666667e-05,0,0.000123,4.9e-05,7.5e-05,0.000121,9.7e-05,0,4.8e-05
France_Turkey,Turkey,France,0.0,0.0,0.01,0,0.0085,0,0.00125,0,0,0.005,0,0,0,0,0
France_United Kingdom,United Kingdom,France,0.001559,0.000132,0.000326,0.001272,0.000493,0.000258,0.00041541666666666674,0.000295,0.000282,0.000451,0.000142,0.000195,7.4e-05,2.8e-05,0.000229
France_United States,United States,France,0.0,0.0,0.0,0,0,0,2.1666666666666665e-06,0,0,0,0,0,0,0,2.6e-05
Georgia_Turkey,Turkey,Georgia,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Germany_Austria,Austria,Germany,0.0,2e-05,0.0,0,0,1.6666666666666669e-06,1.6666666666666669e-06,0,0,0,0,0,0,0,0
Germany_Belgium,Belgium,Germany,0.000609,3e-05,0.000172,0.000179,5.3e-05,0.00016166666666666668,0.00016166666666666668,0.000157,5.6e-05,0.000173,5.6e-05,0.000254,0.000149,5.6e-05,4.9e-05
Germany_Brazil,Brazil,Germany,0.0,0.0,0.0,0,0,0.00906375,0.00906375,2.5e-05,0,0.055,0,0,4.5e-05,7e-06,0.053688
Germany_China,China,Germany,0.000909,0.004446,0.001578,0.00208,0.000998,0.002866166666666666,0.002866166666666666,0.001361,7.3e-05,0.018448,0.001794,0.000224,0,0.001292,0.002189
Germany_Czech Republic,Czech Republic,Germany,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Germany_Denmark,Denmark,Germany,0.0,0.0,0.0,0,0,2.25e-06,2.25e-06,0,0,0,0,0,2.7e-05,0,0
Germany_France,France,Germany,5e-06,0.0,0.0,0,0,4.166666666666667e-07,4.166666666666667e-07,0,0,0,0,0,0,0,0
Germany_Ghana,Ghana,Germany,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Germany_Guinea,Guinea,Germany,0.24886,0.121751,0.0,0.124502,0.244167,0.1769594166666667,0.1769594166666667,0.120572,0.25415,0.246992,0.189729,0.124521,0.251044,0.189243,0.252149
Germany_India,India,Germany,0.0002,0.000625,0.000525,0.0002,0.0002,0.00019650000000000003,0.00019650000000000003,0,0.0002,0,0.0002,0,0,0.000208,0.0002
Germany_Italy,Italy,Germany,0.000252,0.0,0.0,0,8.1e-05,2.1e-05,2.1e-05,0,0,0,0,0,0,0,0
Germany_Latvia,Latvia,Germany,0.0,0.0,0.0,0,0,0.00016666666666666666,0.00016666666666666666,0,0.002,0,0,0,0,0,0
Germany_Luxembourg,Luxembourg,Germany,0.000414,0.000604,2.9e-05,0.000355,0.000269,0.00038508333333333336,0.00038508333333333336,0.000519,0.00044,7.1e-05,0.00041,0.000281,0.00079,4.7e-05,0.000661
Germany_Montenegro,Montenegro,Germany,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Germany_Netherlands,Netherlands,Germany,0.002627,0.002282,0.000538,0.004488,0.001416,0.0024047499999999998,0.0024047499999999998,0.003327,0.001849,0.001428,0.001625,0.003773,0.000379,0.005941,0.0006
Germany_Slovenia,Slovenia,Germany,0.0,0.0,0.0,0,0,2e-06,2e-06,0,0,0,0,0,0,2.4e-05,0
Germany_Spain,Spain,Germany,0.0,2.7e-05,0.0,0,0,1.475e-05,1.475e-05,0,0,0,0,0,0.00015,0,0
Germany_Sweden,Sweden,Germany,0.0,0.00015,0.0,0,3e-05,1.2499999999999999e-05,1.2499999999999999e-05,0,0,0,0,0,0,0,0
Germany_Switzerland,Switzerland,Germany,0.0,0.0,0.0,0,2.3e-05,6.333333333333333e-06,6.333333333333333e-06,0,2.7e-05,0,0,0,2.6e-05,0,2.3e-05
Germany_Turkey,Turkey,Germany,0.0,0.0,0.008,0,0,0.0006666666666666666,0.0006666666666666666,0,0,0,0,0,0,0,0
Germany_United Kingdom,United Kingdom,Germany,0.000308,0.003576,0.000501,0.000289,0.000222,0.0006106666666666666,0.0006106666666666666,0.000337,0.000275,0.00038,0.000377,0.000294,0.000382,0.000318,0.000291
Germany_United States,United States,Germany,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Greece_Brazil,Brazil,Greece,0.045581,0.089235,0.042697,0.086169,0.044297,0.04734,0.05298816666666667,0.09574,0,0,0.047191,0.047772,0,0.13638,0.045093
Greece_China,China,Greece,0.00012,0.0,0.00012,2.4e-05,9.6e-05,0,0.00010875000000000001,0.000144,0.000288,0.00012,4.3e-05,7.2e-05,7.2e-05,0.000182,0.00012
Greece_Germany,Germany,Greece,0.0,0.0,0.0,0,0,0,1.2499999999999999e-05,0,0,0.00015,0,0,0,0,0
Greece_Guinea,Guinea,Greece,0.042628,0.0,0.0,0,0,0,0.007455583333333332,0,0,0,0,0.046839,0,0,0
Greece_Montenegro,Montenegro,Greece,0.0,0.0,0.0,0,0,0,0.000585,0,0,0.00702,0,0,0,0,0
Greece_Netherlands,Netherlands,Greece,2e-06,0.0,0.0,4e-06,1e-06,1e-06,8.333333333333332e-07,0,0,0,0,2e-06,2e-06,0,0
Greece_Turkey,Turkey,Greece,0.014093,0.0,0.022598,0.01204,0.006011,0.006037,0.01197375,0,0.017025,0.00528,0.01734,0.014202,0.02384,0.005998,0.011269
Guatemala_India,India,Guatemala,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea_Australia,Australia,Guinea,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea_India,India,Guinea,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary_Germany,Germany,Hungary,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
India_Brazil,Brazil,India,0.056026000000000006,0.153395,0.04718,0.154691,0,0.03427433333333333,0.03427433333333333,0,0,0,0,0,0,0,0
India_China,China,India,0.004395999999999999,0.00328355,0.003428,0.004692999999999999,0.005804,0.004513995833333334,0.004513995833333334,0.0036000000000000003,0.0032122,0.0047225,0.002405,0.006034,0.006052,0.007571,0.0047707
India_Germany,Germany,India,2.5e-07,0.0,0.0,0,0,2.083333333333333e-08,2.083333333333333e-08,0,0,0,0,0,0,0,0
India_Ghana,Ghana,India,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
India_Guinea,Guinea,India,0.0,0.0,0.0,0.23673203,0.225571,0.08432925499999999,0.08432925499999999,0.186502,3.0000000000000004e-08,0.114187,0.13181800000000002,0.182536,0.062058,0,0.098118
India_Guyana,Guyana,India,0.0,0.0,0.0,0,0,0.00011084833333333334,0.00011084833333333334,0,0,0,0.000307,0,0,0.00102318,0
India_Hong Kong,Hong Kong,India,0.0010869999999999999,0.0,0.00045,0.000475,0.0008539999999999999,0.0007278333333333334,0.0007278333333333334,0.000154,0.000615,0.0005,0.000624,0.001073,0.001067,0.001315,0.001374
India_Montenegro,Montenegro,India,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
India_Netherlands,Netherlands,India,3.8e-05,0.0,0.0,7.6e-05,7e-06,1.9e-05,1.9e-05,0,0,0,0,0,0,7.6e-05,3.8e-05
India_Pakistan,Pakistan,India,0.012326,0.016791,0.016789,0.0062,0,0.004518333333333333,0.004518333333333333,0.0021139999999999996,0,0,0,0,0,0,0
India_Poland,Poland,India,0.0,0.0,0.0,1.0000000000000001e-07,0,8.333333333333334e-09,8.333333333333334e-09,0,0,0,0,0,0,0,0
India_Sierra Leone,Sierra Leone,India,0.0,0.0,0.0,0,0,0.004670833333333333,0.004670833333333333,0,0,0.056049999999999996,0,0,0,0,0
India_Singapore,Singapore,India,0.0,0.0,0.0005,0.0006,0.000825,0.00035,0.00035,0.00015,0,0,0.000275,0.00165,0.00015,0.0004,0.000475
India_Solomon Islands,Solomon Islands,India,0.0,0.0,0.0,0,0,0.0038565833333333334,0.0038565833333333334,0,0,0.046279,0,0,0,0,0
India_Sweden,Sweden,India,0.0,1.0000000000000001e-07,0.0,0,0,8.333333333333334e-09,8.333333333333334e-09,0,0,0,0,0,0,0,0
India_Taiwan,Taiwan,India,0.0,0.0,0.0,0,0,1.25e-08,1.25e-08,0,0,0,0,1.5e-07,0,0,0
India_Trinidad & Tobago,Trinidad & Tobago,India,0.0,0.0,0.0,0,0,0.013483083333333333,0.013483083333333333,0.161797,0,0,0,0,0,0,0
India_Ukraine,Ukraine,India,0.0,5.2e-05,0.0,0,0,6.5e-06,6.5e-06,0,0,0,2.6e-05,0,0,0,0
India_United Arab Emirates,United Arab Emirates,India,0.0,0.0,0.0,0,0.0001,3.50855e-05,3.50855e-05,0,0,0,0.000121026,0.0001,0.0001,0,0.0001
India_United States,United States,India,0.0,0.0,0.0,0,0,4.4166666666666665e-09,4.4166666666666665e-09,1.2999999999999999e-08,0,0,4e-08,0,0,0,0
Indonesia_Australia,Australia,Indonesia,0.0,0.0,6.75e-05,0,0,0,5.625e-06,0,0,0,0,0,0,0,0
Indonesia_Brazil,Brazil,Indonesia,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
Indonesia_China,China,Indonesia,2.4e-05,1e-05,0.0,4e-06,0,0,6.616833333333334e-06,2.8018999999999997e-05,0,0,3.383e-06,0,1e-05,0,0
Indonesia_Germany,Germany,Indonesia,0.0,0.0,0.0,0,0,0,5.581916666666666e-05,0.00016125999999999998,0,0.00010177999999999999,0,0,0.00040678999999999997,0,0
Indonesia_India,India,Indonesia,0.000125,0.00025,0.0,0.00025,0,0.000125,5.833333333333333e-05,0,0,0,0,0,7.5e-05,0,0
"Indonesia_Korea, South","Korea, South",Indonesia,0.0,0.0,0.0,0,1.2326e-05,0,9.577083333333333e-06,0,1.6603e-05,1.3385e-05,0,0,4.3249999999999994e-05,2.1846e-05,1.9841000000000002e-05
Indonesia_Netherlands,Netherlands,Indonesia,0.0,0.0,0.0,1e-06,0,5.9999999999999995e-05,1.1916666666666667e-05,0,2e-05,2e-05,5.9999999999999995e-05,2e-05,2e-05,0,2e-06
Indonesia_United Kingdom,United Kingdom,Indonesia,0.0,0.0,0.0,0,3.9999999999999994e-09,0,0.0,0,0,0,0,0,0,0,0
Indonesia_United States,United States,Indonesia,0.0,3.9999999999999994e-09,0.0,0,0,0,3.3333333333333327e-10,0,0,0,0,0,0,0,0
Iran_China,China,Iran,0.0001,0.0004,0.0007,0.0001,0.00018750000000000003,0.00018750000000000003,0.00018750000000000003,0.0004,0.00025,0.0003,0,0,0,0,0
Iran_India,India,Iran,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Iran_Turkey,Turkey,Iran,0.0,0.0003,0.0,0,2.7083333333333332e-05,2.7083333333333332e-05,2.7083333333333332e-05,0,0,2.5e-05,0,0,0,0,0
