date,shanxi4.5,shanxi5,henan4,henan5,guizhou5.5,guizhou6.5,creation_date,updation_date
43315.0,440,560,390,540,300,350,,
43322.0,440,560,390,540,300,350,,
43329.0,440,560,390,540,300,350,,
43336.0,440,560,390,540,300,350,,
43343.0,440,560,390,540,300,350,,
43350.0,460,580,410,560,300,350,,
43357.0,460,580,410,560,300,350,,
43364.0,480,600,430,600,310,360,,
43371.0,480,600,430,600,310,360,,
43378.0,480,600,430,600,310,360,,
43385.0,480,600,430,600,310,360,,
43392.0,480,625,450,630,310,360,,
43399.0,480,625,450,630,310,360,,
43406.0,480,625,450,630,310,360,,
43413.0,480,625,450,630,310,360,,
43420.0,480,625,450,630,310,360,,
43427.0,480,625,450,630,310,360,,
43434.0,500,650,450,630,340,390,,
43441.0,500,650,470,650,340,390,,
43448.0,500,650,470,650,340,390,,
43455.0,500,650,470,650,340,390,,
43462.0,480,630,450,630,320,370,,
43469.0,450,600,430,610,320,370,,
43476.0,450,600,430,610,320,370,,
43483.0,450,600,430,610,320,370,,
43490.0,450,600,430,610,320,370,,
43511.0,450,580,400,580,320,370,,
43518.0,450,580,400,580,320,370,,
43525.0,450,580,400,580,320,370,,
43532.0,450,580,400,580,320,370,,
43539.0,450,580,400,580,320,370,,
43546.0,450,580,400,580,320,370,,
43553.0,450,580,380,550,320,370,,
43560.0,450,580,380,550,320,370,,
43567.0,450,580,380,550,320,370,,
43574.0,450,580,380,550,320,370,,
43581.0,450,560,380,500,320,370,,
43588.0,450,560,380,500,320,370,,
43595.0,450,560,380,500,320,370,,
43602.0,450,560,380,500,320,370,,
43609.0,450,560,380,500,320,370,,
43616.0,450,560,380,500,320,370,,
43623.0,450,560,400,550,320,370,,
43630.0,450,560,400,550,320,370,,
43637.0,450,560,400,550,320,370,,
43644.0,450,560,400,550,350,400,,
43651.0,450,560,400,550,350,400,,
43658.0,450,560,400,550,350,400,,
43665.0,450,560,400,550,350,400,,
43672.0,450,560,400,550,350,400,,
43679.0,450,560,400,530,350,400,,
43686.0,450,560,400,530,350,400,,
43693.0,450,560,400,530,350,400,,
43700.0,450,560,400,530,350,400,,
43707.0,450,540,370,500,350,400,,
43714.0,450,540,370,500,350,400,,
43721.0,450,540,370,500,350,400,,
43728.0,450,540,370,500,350,400,,
43735.0,450,540,370,500,350,400,,
43742.0,450,540,370,500,350,400,,
43749.0,470,560,370,500,350,400,,
43756.0,470,560,370,500,350,400,,
43763.0,470,560,370,500,350,400,,
43770.0,470,560,370,500,350,400,,
43777.0,470,560,370,500,350,400,,
43784.0,470,560,370,500,350,400,,
43791.0,470,560,370,500,350,400,,
43798.0,470,560,370,500,350,400,,
43805.0,470,560,370,500,350,400,,
43812.0,470,560,370,500,350,400,,
43819.0,450,540,360,490,350,400,,
43826.0,450,540,360,490,350,400,,
43833.0,450,540,360,490,350,400,,
43840.0,450,540,360,490,350,400,,
43847.0,450,540,360,490,350,400,,
43854.0,450,540,360,490,350,400,,
43861.0,450,540,360,490,350,400,,
43868.0,450,540,360,490,350,400,,
43875.0,450,540,360,490,350,400,,
43882.0,450,540,360,490,350,400,,
43889.0,450,540,360,490,350,400,,
43896.0,450,540,360,490,350,400,,
43903.0,450,540,360,490,350,400,,
43910.0,450,540,360,490,350,400,,
43917.0,450,540,360,490,350,400,,
43924.0,410,500,320,450,350,400,,
43931.0,410,500,320,450,350,400,,
43938.0,370,460,320,450,350,400,,
43945.0,370,460,320,450,350,400,,
43952.0,370,460,320,450,320,370,,
43959.0,370,460,320,450,320,370,,
43966.0,340,430,280,410,300,350,,
43973.0,340,430,280,410,300,350,,
43980.0,340,430,280,410,300,350,,
