Year,Mine,Country,Province,Mine Type,Total FTE's,Total Production,Labour,Mining,Processing,Transport,Maintenance,Administration,Diesel,Diesel Price Line,Diesel Custom Price,Diesel Comment,Gasoline,Gasoline Customised Price,Gasoline Comment,LPG Gas,LPG Gas Customised Price,LPG Gas  Comment,Electricity,Electricity Customised Price,Electricity Comment,Explosives,Explosives Customised Price,Explosives Comment,New Water,New Water Customised Price,New Water Comment,Special,Special Comment,Special Price,Energy -Usage Rates,Energy -Usage Rates - Diesel ,Energy -Usage Rates - Gasoline,Energy -Usage Rates - LPG,Energy -Usage Rates - Electricity,Energy -Usage Rates - Explosives,Energy -Usage Rates - Special,Energy -Usage Rates - Comment,Labour - Usage Rates,Labour - Usage Rates - Portion by Price Line 1,Labour - Usage Rates - Price Line 1,Labour - Usage Rates - Comment,Price Line 2,Prices,Prices - Labour Price by Price Line 1 - Customised Price,Prices - Labour Price by Price Line 1 - Comment,Prices - Labour Price by Price Line 2 - Customised Price,Prices - Labour Price by Price Line 2 - Comment,Water - Water use,Water - Comment,Processing,Processing - Energy - Usage rates - Diesel,Processing - Energy - Usage rates - Gasoline,Processing - Energy - Usage rates - LPG,Processing - Energy - Usage rates - Electricity,Processing - Energy - Usage rates - Explosives,Processing - Energy - Usage rates - Special,Processing - Energy - Usage rates - Comment,Prices 2 (row 216),Prices 2 - Line 1 - Customised Price,Prices 2 - Line 2 - Customised Price,Water - Usage,Water - Usage - Water use,Water - Usage - Comment,Transport Energy Usage rates,Transport Energy Usage rates - Diesel,Transport Energy Usage rates - Gasoline,Transport Energy Usage rates - LPG,Transport Energy Usage rates - Electricity,Transport Energy Usage rates - Explosives,Transport Energy Usage rates - special,Transport Energy Usage rates - Comment,Prices 3 (284),Prices 3 -Line 1 Customised Price,Prices 3 -Line 2 Customised Price,Water 3 (row304),Water 3 - Water use,Water 3 - Comment,Special (row 312),Other Direct Charges,Port Charges - Denomination,Port Charges - Charge amount,Barging Charges - Denomination,Barging Charges - Charge amount,Transloading charges - Denomination,Transloading charges - Charge amount,Taxes and Royalties,Charge 1 Name,Charge 1 Denomination,Charge 1 Amount,Charge 1 comment,Charge 2 Name,Charge 2 Denomination,Charge 2 Amount,Charge 2 comment,Charge 3 Name,Charge 3 Denomination,Charge 3 Amount,Charge 3 comment,Charge 4 Name,Charge 4 Denomination,Charge 4 Amount,Charge 4 comment,Charge 5 Name,Charge 5 Denomination,Charge 5 Amount,Charge 5 comment,Common Distributables,Underlying Denomiations,Estimated Capital Cost,Portion of capital spent as maintenance ,Minimum maintenance charge,Commom Distributables comments,Commom Distributables Prices,Commom Distributables Prices - Line 1 - Customised Price,Commom Distributables Prices - Line 2 - Customised Price,Site & Overheads,Site & Overheads - Prices - Line 1 - Customised Price,Site & Overheads - Prices - Line 2 - Customised Price,Coporate Charge,Coporate Charge - Denomination,Coporate Charge - Charge Amount
,SMB,Guinea,Boké,Open Pit,2000,15500000,,0.3,0.3,0.2,0.15,0.05,,Guinea,,Australia has a diesel rebate,,,if required,,,if required,,,if required,,,if required,,,if required,,req'd if used,0,,3.5,0,0,0,0,0,"very little explosive used, electricity predominantly from diesel generators + some solar",,0.9,Guinea_Local,if required,Guinea_ExPat_SMB,,,if required,,if required,0,if required,,3,0,0,0,0,0,added extra litre for drying,,,,,0,if required,,8.5,0,0,0,0,0,processing uses electricity predominantly from diesel generators,,,,,0,if required,,,USD,0.85,USD,0,USD,4,,Royalty & Taxes,USD,3.1,4% FOB also,Community,USD,0,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,15,0.015,1,"need better estimate, does not include sustaining capital",,,,,,,,USD,0.442117582
,Alufer,Guinea,Boffa,Open Pit,2000,15500000,,0.3,0.3,0.2,0.15,0.05,,Guinea,,Australia has a diesel rebate,,,if required,,,if required,,,if required,,,if required,,,if required,,req'd if used,0,,2.3205017,0,0,0,0,0,"very little explosive used, electricity predominantly from diesel generators + some solar",,0.9,Guinea_Local,if required,Guinea_ExPat_CBG,,,if required,,if required,0,if required,,1,0,0,0,0,0,added extra litre for drying,,,,,0.8,if required,,2.827884758,0,0,0,0,0,processing uses electricity predominantly from diesel generators,,,,,0,if required,,,USD,0,USD,4.5,USD,0,,Royalty & Taxes,USD,3,4% FOB also,Community,USD,0.3,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,0,0.015,0,"need better estimate, does not include sustaining capital",,,,,,,,USD,0.31
,Guinea-Bissau,Guinea-Bissau,,Open Pit,2000,15500000,,0.3,0.3,0.2,0.15,0.05,,Guinea,,Australia has a diesel rebate,,,if required,,,if required,,,if required,,,if required,,,if required,,req'd if used,0,,2,0,0,0,0,0,"very little explosive used, electricity predominantly from diesel generators + some solar",,0.9,Guinea_Local,if required,Guinea_ExPat_CBG,,,if required,,if required,0,if required,,2,0,0,0,0,0,added extra litre for drying,,,,,0.8,if required,,2,0,0,0,0,0,processing uses electricity predominantly from diesel generators,,,,,0,if required,,,USD,1,USD,0,USD,0,,Royalty & Taxes,USD,0,,Community,USD,2,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,90,0.015,1,"need better estimate, does not include sustaining capital",,,,,,,,USD,0.5
,Guyana,Guyana,Boké,Open Pit,2000,15500000,,0.3,0.3,0.2,0.15,0.05,,Guinea,,Australia has a diesel rebate,,,if required,,,if required,,,if required,,,if required,,,if required,,req'd if used,0,,3,0,0,0,0,0,"very little explosive used, electricity predominantly from diesel generators + some solar",,0.5,Guinea_Local,if required,Guinea_ExPat_SMB,,,if required,,if required,0,if required,,0.5,0,0,0,0,0,added extra litre for drying,,,,,0.8,if required,,3,0,0,0,0,0,processing uses electricity predominantly from diesel generators,,,,,0,if required,,,USD,2.5,USD,2.5,USD,4,,Royalty & Taxes,USD,2.5,,Community,USD,0.5,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,45,0.015,1,"need better estimate, does not include sustaining capital",,,,,,,,USD,0.5
,Gujarat,India,Gujarat,Open Pit,450,1000000,,0.3,0.3,0.2,0.15,0.05,,India,,Australia has a diesel rebate,,,if required,,,if required,,,if required,,,if required,,,if required,,req'd if used,0,,2.5,0,0,0,0,0,"very little explosive used, electricity predominantly from diesel generators + some solar",,1,India,if required,India,,,if required,,if required,0,if required,,0.25,0,0,0,0,0,added extra litre for drying,,,,,0.8,if required,,5,0,0,0,0,0,processing uses electricity predominantly from diesel generators,,,,,0,if required,,,USD,1,USD,0,USD,0,,Royalty & Taxes,USD,3.18,,Community,USD,1.05,if req'd,Export levy,USD,0.06,if req'd,Export tax,USD,4.3,if req'd,,USD,0,if req'd,,USD,45,0.015,1,"need better estimate, does not include sustaining capital",,,,,,,,USD,0.1
,Antam,Indonesia,,Open Pit,900,1000000,,0.3,0.3,0.2,0.15,0.05,,Indonesia,,Australia has a diesel rebate,,,if required,,,if required,,,if required,,,if required,,,if required,,req'd if used,0,,3,0,0,0,0,0,equpmemnt hire = special,,1,Indonesia,if required,Indonesia,,,if required,,if required,0,if required,,2,0,0,0,0,0,added extra litre for drying,,,,,0.8,if required,,2.6,0,0,0,0,0,processing uses electricity predominantly from diesel generators,,,,,0,if required,,,USD,0.5,USD,7,USD,0,,State Royalty,USD,2,based on sales … so USD denominated,Export dutry,USD,3,if req'd,G&A,USD,1,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,8,0.015,1,"need better estimate, does not include sustaining capital",,,,,,,,USD,0.5
,Jamaica,Jamaica,,Open Pit,1000,5000000,,0.3,0.3,0.2,0.15,0.05,,Jamaica,,Australia has a diesel rebate,,,if required,,,if required,,,if required,,,if required,,,if required,,req'd if used,0,,3,0,0,0,0,0,"very little explosive used, electricity predominantly from diesel generators + some solar",,1,Jamaica,if required,Jamaica,,,if required,,if required,0,if required,,1,0,0,0,0,0,added extra litre for drying,,,,,0.8,if required,,6,0,0,0,0,0,processing uses electricity predominantly from diesel generators,,,,,0,if required,,,USD,1,USD,0,USD,0,,Royalty & Taxes,USD,1,based on sales … so USD denominated,,USD,0,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,90,0.015,1,"need better estimate, does not include sustaining capital",,,,,,,,USD,0.5
,Malaysia,Malaysia,,Open Pit,1000,1000000,,0.3,0.3,0.2,0.15,0.05,,Malaysia,,Australia has a diesel rebate,,,if required,,,if required,,,if required,,,if required,,,if required,,Equipment hire,5,,6,0,0,0,0,1,equpmemnt hire = special,,1,Malaysia,if required,Malaysia,,,if required,,if required,0,if required,,1,0,0,0,0,0,added extra litre for drying,,,,,0.8,if required,,6,0,0,0,0,0,processing uses electricity predominantly from diesel generators,,,,,0,if required,,,USD,1,USD,0,USD,0,,Royalty & Taxes,USD,2.5,based on sales … so USD denominated,,USD,0,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,45,0.015,1,"need better estimate, does not include sustaining capital",,,,,,,,USD,0.5
,Montenegro,Montenegro,,Under Ground,200,1000000,,0.3,0.3,0.2,0.15,0.05,,Greece,,Australia has a diesel rebate,,,if required,,,if required,,,if required,,,if required,,,if required,,req'd if used,0,,3,0,0,0,0,0,"very little explosive used, electricity predominantly from diesel generators + some solar",,1,Greece,if required,Greece,,,if required,,if required,0,if required,,1,0,0,0,0,0,added extra litre for drying,,,,,0.8,if required,,3,0,0,0,0,0,processing uses electricity predominantly from diesel generators,,,,,0,if required,,,USD,1,USD,0,USD,0,,Royalty & Taxes,USD,1.2,4% FOB also,Community,USD,0,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,50,0.015,1,"need better estimate, does not include sustaining capital",,,,,,,,USD,0.5
,Pakistan,India,Gujarat,Open Pit,450,1000000,,0.3,0.3,0.2,0.15,0.05,,India,,Australia has a diesel rebate,,,if required,,,if required,,,if required,,,if required,,,if required,,req'd if used,0,,3,0,0,0,0,0,"very little explosive used, electricity predominantly from diesel generators + some solar",,1,India,if required,India,,,if required,,if required,0,if required,,0.5,0,0,0,0,0,added extra litre for drying,,,,,0.8,if required,,6,0,0,0,0,0,processing uses electricity predominantly from diesel generators,,,,,0,if required,,,USD,1.5,USD,1.5,USD,4,,Royalty & Taxes,USD,5.3,,Community,USD,0,if req'd,Export levy,USD,0,if req'd,Export tax,USD,0,if req'd,,USD,0,if req'd,,USD,45,0.015,1,"need better estimate, does not include sustaining capital",,,,,,,,USD,0.5
,Sierra Leone,Sierra Leone,,Open Pit,2000,15500000,,0.3,0.3,0.2,0.15,0.05,,Guinea,,Australia has a diesel rebate,,,if required,,,if required,,,if required,,,if required,,,if required,,req'd if used,0,,4.089676008,0,0,0,0,0,"very little explosive used, electricity predominantly from diesel generators + some solar",,0.9,Guinea_Local,if required,Guinea_ExPat_SMB,,,if required,,if required,0,if required,,4.264956906,0,0,0,0,0,added extra litre for drying,,,,,0,if required,,11.25940439,0,0,0,0,0,processing uses electricity predominantly from diesel generators,,,,,0,if required,,,USD,0.85,USD,0,USD,4.06,,Royalty & Taxes,USD,2,4% FOB also,Community,USD,0,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,15,0.015,1,"need better estimate, does not include sustaining capital",,,,,,,,USD,0.442117582
,Solomon Islands,Solomon Islands,,Open Pit,500,1000000,,0.3,0.3,0.2,0.15,0.05,,Fiji,,Australia has a diesel rebate,,,if required,,,if required,,,if required,,,if required,,,if required,,req'd if used,0,,3,0,0,0,0,0,"very little explosive used, electricity predominantly from diesel generators + some solar",,1,Fiji,if required,Fiji,,,if required,,if required,0,if required,,0.5,0,0,0,0,0,added extra litre for drying,,,,,0.8,if required,,3,0,0,0,0,0,processing uses electricity predominantly from diesel generators,,,,,0,if required,,,USD,1,USD,3,USD,4,,Royalty & Taxes,USD,3,3% FOB,Community,USD,1,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,15,0.015,1,"need better estimate, does not include sustaining capital",,,,,,,,USD,0.5
,Turkey,Turkey,,Open Pit,200,1000000,,0.3,0.3,0.2,0.15,0.05,,Greece,,Australia has a diesel rebate,,,if required,,,if required,,,if required,,,if required,,,if required,,req'd if used,0,,1,0,0,0,0,0,"very little explosive used, electricity predominantly from diesel generators + some solar",,1,Greece,if required,Greece,,19000,if required,,if required,0,if required,,1,0,0,0,0,0,added extra litre for drying,,,,,0.8,if required,,2,0,0,0,0,0,processing uses electricity predominantly from diesel generators,,,,,0,if required,,,USD,1,USD,0,USD,0,,Royalty & Taxes,USD,1,4% FOB also,Community,USD,0,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,15,0.015,1,"need better estimate, does not include sustaining capital",,,,,,,,USD,0.25
,Vietnam,Vietnam,,Open Pit,500,1000000,,0.3,0.3,0.2,0.15,0.05,,Fiji,,Australia has a diesel rebate,,,if required,,,if required,,,if required,,,if required,,,if required,,req'd if used,0,,3,0,0,0,0,0,"very little explosive used, electricity predominantly from diesel generators + some solar",,1,Fiji,if required,Fiji,,,if required,,if required,0,if required,,0.5,0,0,0,0,0,added extra litre for drying,,,,,0.8,if required,,9,0,0,0,0,0,processing uses electricity predominantly from diesel generators,,,,,0,if required,,,USD,1,USD,0,USD,0,,Royalty & Taxes,USD,0.9,3% FOB,Community,USD,2,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,0,if req'd,,USD,15,0.015,1,"need better estimate, does not include sustaining capital",,,,,,,,USD,0.5
