Province,County,Deposit/Mine,Inventory '000 t,"Geological
Endowment '000 t",Inventory Reference,Endowment Reference
Guizhou,Xiuwen,Xiuwen County Shangtong Mine,3502,3502,BHL2008,BHL2008
Guizhou,Xiuwen,Xiuwen County Tianmashan Bauxite Mine,716,716,BHL2008,BHL2008
Guizhou,Xiuwen,Xiuwen County Yuba Mine,2545,2545,BHL2008,BHL2008
Guizhou,Xiuwen,Xiuwen County Zhuguan Mine,2340,2340,BHL2008,BHL2008
Guizhou,Zheng'an,Zheng'an County Xinmu - Yanxi,28120,28120,?????????????????????-?????????????????? http://www.mlr.gov.cn/kyqsc/zrgs/tkzrgs/201412/t20141205_4579585.htm,?????????????????????-?????????????????? http://www.mlr.gov.cn/kyqsc/zrgs/tkzrgs/201412/t20141205_4579585.htm
Guizhou,Zheng'an,Zheng'an County Hongguangba,21000,21000,???????????? ??????5400?? http://www.gywb.cn/content/2015-11/09/content_4116076.htm,???????????? ??????5400?? http://www.gywb.cn/content/2015-11/09/content_4116076.htm
Guizhou,Zheng'an,Mazongling,15000,29000,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document
Guizhou,Zheng'an,Dongshan,11000,21000,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document
Guizhou,Zheng'an,Zhangjiayuan,37751.8,93392.1,????????????????????? https://wenku.baidu.com/view/6b2aa345cc22bcd127ff0c8f.html,????????????????????? https://wenku.baidu.com/view/6b2aa345cc22bcd127ff0c8f.html
Guizhou,Zhijin,Zhijin County Masanglin Mine,9976,10711.66667,BHL2008,BHL2008
Guizhou,Zhijin,Machang Village Boduhe Bauxite Mine,4327.8,4327.8,????????????????????????????????????????? http://www.chalco-gzfgs.com/xwgg/newscontent0.aspx?TabID=NEWS20121105165536428033,????????????????????????????????????????? http://www.chalco-gzfgs.com/xwgg/newscontent0.aspx?TabID=NEWS20121105165536428033
Guizhou,Zhijin,Yinghe Village Xiangshuiba Bx mine,632.3,632.3,http://www.mlr.gov.cn/kyqsc/zrgs/ckzrgs/201508/t20150814_4989471.htm,http://www.mlr.gov.cn/kyqsc/zrgs/ckzrgs/201508/t20150814_4989471.htm
Guizhou,Zunyi,Goujiang Huilong,12332,12332,BHL2008,BHL2008
Guizhou,Zunyi,Liutang Bx mine,1679,3447,http://www.zypg.gov.cn/htm/article/2016-3/28/0001043070.htm,http://www.zypg.gov.cn/htm/article/2016-3/28/0001043070.htm
Guizhou,Zunyi,Tuanxi & Houcao,29285,29285,????????????????? http://www.dalilvcai.com/teach/show.php?itemid-492.html,????????????????? http://www.dalilvcai.com/teach/show.php?itemid-492.html
Guizhou,Zunyi,Xianrenyan,15432.6,15432.6,?????????????????? http://www.doc88.com/p-9167247185556.html,?????????????????? http://www.doc88.com/p-9167247185556.html
Guizhou,Zunyi,Zunyi County Fufa Calcination Plant,53,53,BHL2008,BHL2008
Guizhou,Zunyi,Zunyi County Fuxin-Kendi Bauxite Mine Dabaiyan Mine,628,628,BHL2008,BHL2008
Guizhou,Zunyi,Zunyi County Gongjiadashan Mine,2344,2344,BHL2008,BHL2008
Guizhou,Zunyi,Zunyi County Maoli Fuxing Bauxite Prospecting,98,106,REF 08-13 New Discoveries Document ,REF 08-13 New Discoveries Document 
Guizhou,Zunyi,Zunyi County Sancha Town Bauxite Mine,418,418,BHL2008,BHL2008
Guizhou,Zunyi,Zunyi County Sanhe Town Yanhe Village Xiongxin Bauxite Mine,352,352,BHL2008,BHL2008
Guizhou,Zunyi,Hetaowo Bauxite Mine,5307,5307,BHL2008,BHL2008
Guizhou,Zunyi,Zunyi County Hetaowo Bauxite Mine Geological Prospecting,61,68,REF 08-13 New Discoveries Document ,REF 08-13 New Discoveries Document 
Guizhou,Zunyi,Zunyi County Tiziyan Bauxite Prospecting,113,556,REF 08-13 New Discoveries Document ,REF 08-13 New Discoveries Document 
Guizhou,Zunyi,Zunyi County Goujiapo Bauxite Prospecting,248,248,REF 08-13 New Discoveries Document ,REF 08-13 New Discoveries Document 
Guizhou,Zunyi,Zhunanya Bauxite Mine,96.44,96.44,"CM Field Work Zhang Wen: 122b)88.4, 333)8.04","CM Field Work Zhang Wen: 122b)88.4, 333)8.04"
Guizhou,Zunyi,Tiechang town Dajinshan,,6000,,?????????????????
Guizhou,Zunyi,Chenqian 213 Bx Mine,27361,27361,???????? 2011-2015? https://wenku.baidu.com/view/97e514c108a1284ac850433c.html,???????? 2011-2015? https://wenku.baidu.com/view/97e514c108a1284ac850433c.html
Hainan,Wenchang,Penglai,21906,21906,????????????????? http://www.dalilvcai.com/teach/show.php?itemid-492.html,????????????????? http://www.dalilvcai.com/teach/show.php?itemid-492.html
Hebei,Fengfeng,Shuichigou,0,3346,"CM Field Research,  ???????????????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=48170","CM Field Research,  ???????????????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=48170"
Hebei,Jingxing,Gaojiazhuang,0,2956,???????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=37035,???????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=37035
Hebei,Jingxing,Mayu,694,917,??????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=36970,??????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=36970
Hebei,Jingxing,Nanguan,0,13049,??????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=37033,??????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=37033
Hebei,Jingxing,Nanzhang,0,10116,?????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=36971,?????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=36971
Hebei,Jingxing,Shanbei,0,12911,??????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=36972,??????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=36972
Hebei,Jingxing,Zhaocunpu,0,2929,???????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=37034,???????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=37034
Hebei,Tangshan,Baimashan,2105,2105,CM Field Research,CM Field Research
Hebei,Tangshan,Banbidian,,,CM Field Research,CM Field Research
Hebei,Tangshan,Beijiadian,5880,5880,CM Field Research,CM Field Research
Hebei,Tangshan,Gulouzhuang,7812,7812,CM Field Research,CM Field Research
Hebei,Tangshan,Zhaogezhuang,8072,8072,"CM Field Research,  ???????????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=12349","CM Field Research,  ???????????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=12350"
Hebei,Wu'an,Yehe,323.34,323.34,"CM Field Research + ???????????????????????????????????, http://www.hb12369.net/hjzw/hpsp/xgwj/201511/t20151118_48912.html","CM Field Research + ???????????????????????????????????, http://www.hb12369.net/hjzw/hpsp/xgwj/201511/t20151118_48912.html"
Henan,Baofeng,Bianzhuang,14331,14331,"?????????, http://www.baofeng.gov.cn/publicfiles/business/htmlfiles/bfxzfw/zrdl/201308/37266.html","?????????, http://www.baofeng.gov.cn/publicfiles/business/htmlfiles/bfxzfw/zrdl/201308/37266.html"
Henan,Baofeng,Ligou,473.3,12608," 2002: Prev D class, re-assed to 333, file ?????????????????, ref http://222.143.25.246/datagateway/datasetView.action?datasetVO.serverNodeVO.id=1&datasetVO.lid=7688",CM Field Research
Henan,Baofeng,Daying or Dayin Town Qingliangsi Haogou Nanpo Aluminum Clay Mine,133,756.66,BHL2008,Henan Bx Report
Henan,Baofeng,Baofeng County Ganshiya Bauxite Mine,1044,1044,BHL2008,BHL2008
Henan,Baofeng,"Yongshun Bauxitic Clay Co., Ltd.",2874,2874,BHL2008,BHL2008
Henan,Baofeng,Zhangbaqiao,3778,3778,BHL2008,BHL2008
Henan,Baofeng,Laoguojia-Manziying deposit,1231.56,2443.5,CM Field Research,"?????????????????, http://www.calre.org.cn/uploadfile/546.pdf"
Henan,Dengfeng,Daye,17062,19114,BHL2008,"????????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=72894"
Henan,Dengfeng,"Banqiaohe Bauxite Mine (""Dengfeng City Jinhua Mining Co., Ltd. Banqiaohe Bauxite Mine"")",678,678,BHL2008,BHL2008
Henan,Dengfeng,"Chantong Bauxitic Clay  Co., Ltd. (""Dengfeng City Chantong Bauxitic Clay  Co., Ltd."")",1074,1074,BHL2008,BHL2008
Henan,Dengfeng,Dongtou Xiaohong Bauxite Mine,2773,2773,BHL2008,BHL2008
Henan,Dengfeng,Feizhuang,2963,3317,"??????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=63495","??????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=63495"
Henan,Dengfeng,Gaocheng (Jiangzhuang),4500,7180,CM Research,CM Research
Henan,Dengfeng,"Genzhuangjun Bauxite Mine (""Dengfeng City Junzhao County Genzhuangjun Bauxite Mine"")",1502,1502,BHL2008,BHL2008
Henan,Dengfeng,"Henan Zhongmei Aluminum Dengfeng City Jinlou Bauxitic Clay  Co., Ltd.",1245,1245,BHL2008,BHL2008
Henan,Dengfeng,"Lehua Bauxite Mine (""Dengfeng City Shidao County Lehua Bauxite Mine"")",686,686,BHL2008,BHL2008
Henan,Dengfeng,Liulou,45,45,BHL2008,BHL2008
Henan,Dengfeng,"Mulangang Bauxite Mine (""Dengfeng City Mulangang Bauxite Mine"")",1304,1304,BHL2008,BHL2008
Henan,Dengfeng,Qugou,0,8500,,CM Research
Henan,Dengfeng,"Sigou Bauxite Mine (""Dengfeng City Sigou Bauxite Mine"")",810,810,BHL2008,BHL2008
Henan,Dengfeng,Wangcun,7448,7448,??????????????? http://www.doc88.com/p-868119946683.html,??????????????? http://www.doc88.com/p-868119946683.html
Henan,Dengfeng,"Wangtang-Miaozhuang Mine (""Dengfeng City Wangtang-Miaozhuang Mine"")",4790,4790,BHL2008,BHL2008
Henan,Dengfeng,Xinxin (Xibaiping),4653,4653,BHL2008,BHL2008
Henan,Dengfeng,"Yanqing Bauxitic Clay  Co., Ltd. (""Dengfeng City Yanqing Bauxitic Clay  Co., Ltd."")",3358,3358,BHL2008,BHL2008
Henan,Dengfeng,Yueyao,7632.2,7632.2,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=85187,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=85187
Henan,Dengfeng,Yuzhou City Changzhuang Township Clay Mines,316,316,BHL2008,BHL2008
Henan,Dengfeng,Zhengzhuang,6939,12003,BHL2008,BHL2008
Henan,Dengfeng,Zhuangtou,6660,7246,Henan Bx report,CM Research
Henan,Dengfeng,Shengdimiao,0,47000,,"??-????????????????????4700??, http://www.cnpowder.com.cn/news/40953.html"
Henan,Gongyi,Chadian,16056,31000,Henan Bx Report,CM Research
Henan,Gongyi,Dayugou,2828,2828,Henan Bx Report,Henan Bx Report
Henan,Gongyi,"Dingwang Bauxitic Clay Co., Ltd. (""Gongyang City Dingwang Bauxitic Clay Co., Ltd."")",540,540,BHL2008,BHL2008
Henan,Gongyi,Gongyang City Clay Mine,6529,6529,BHL2008,BHL2008
Henan,Gongyi,"Qiaogou Bauxite Mine (""CHALCO Gongyang City Qiaogou Bauxite Mine"")",1437,1437,BHL2008,BHL2008
Henan,Gongyi,"Qingfeng Bauxite Mine (""Gongyang City Qingfeng Bauxite Mine"")",778,778,BHL2008,BHL2008
Henan,Gongyi,"Qixing  Aluminum Co., Ltd. (""Gongyang City Qixing  Aluminum Co., Ltd."")",891,891,BHL2008,BHL2008
Henan,Gongyi,Shecun,31078,81678,Henan Bx Report,CM Research
Henan,Gongyi,Shuidou (Shuitou),13746,14132," ???????, http://www.360doc.com/content/12/1217/10/14148_254522425.shtml",CM Research
Henan,Gongyi,Xiaoguan Bx Mine,68230,68230,"????????????_????100, http://www.zgqk100.com/ShowLunwen.asp?id=1115","????????????_????100, http://www.zgqk100.com/ShowLunwen.asp?id=1115"
Henan,Gongyi,"Xinyuan Bauxitic Clay  Co., Ltd. (""Gongyang City Xinyuan Bauxitic Clay  Co., Ltd."")",1064,1064,BHL2008,BHL2008
Henan,Gongyi,"Zhangjiagou Dafa Bauxite Mine Co., Ltd. (""Gongyang City Zhangjiagou Dafa Bauxite Mine Co., Ltd."")",1472,1472,BHL2008,BHL2008
Henan,Gongyi,"Zhi'en Bauxite Mine (""CHALCO Gongyang City Zhi'en Bauxite Mine"")",389,389,BHL2008,BHL2008
Henan,Gongyi,Zhongling,8524,8723,BHL2008,BHL2008
Henan,Gongyi,Zhulingou,26672,26916," ???????, http://www.360doc.com/content/12/1217/10/14148_254522425.shtml"," ???????, http://www.360doc.com/content/12/1217/10/14148_254522425.shtml"
Henan,Hubin,Sanmenxia City Hubin District Qiligou - Xiao Shan Bauxite Mine,2260.8,3777,"?????????????--???????????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=104059","?????????????--???????????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=104059"
Henan,Hubin,Jinbin Mining Yezhuwa Laomeigou Mine (Coalmine),530.4,0,"????????????--???????--???????????, http://222.143.25.246/datagateway/datasetView.action?datasetVO.serverNodeVO.id=1&datasetVO.lid=7180","????????????--???????--???????????, http://222.143.25.246/datagateway/datasetView.action?datasetVO.serverNodeVO.id=1&datasetVO.lid=7180"
Henan,Jiaxian,Dujiagou,2190,2190,CM Research,CM Research
Henan,Jiaxian,Yangzhuang,2710,2710,CM Research,CM Research
Henan,Jiyuan,Xiaye,6335.4,6335.4,"???????????????????????_??,??,??? - ?????, http://www.alu.cn/aluNews/NewsDisplay_936126.html","???????????????????????_??,??,??? - ?????, http://www.alu.cn/aluNews/NewsDisplay_936126.html"
Henan,Lushan,not alloactged by mine,,44861.3,,"??????????? ??????????? 3??????8??, http://www.henan.gov.cn/jrhn/system/2014/01/21/010447605.shtml"
Henan,Lushan,Duandian,1016,5856,BHL2008,CM Research
Henan,Lushan,"Hongyiling Bauxite Mine (""Lushan County Hongyiling Bauxite Mine"") belongs to Huiyuan",490,490,BHL2008,BHL2008
Henan,Lushan,Liangwa,4753,5443,BHL2008,CM Research
Henan,Lushan,Gaojiazhuang,1569.7,1569.7,"[??????]-?????????????, http://www.pds.gov.cn/contents/1399/25875.html","[??????]-?????????????, http://www.pds.gov.cn/contents/1399/25875.html"
Henan,Mianchi,Caoyao,24370,185000," ???????, http://www.360doc.com/content/12/1217/10/14148_254522425.shtml","???????????????1.85??, http://www.bmlink.com/news/871629.html"
Henan,Mianchi,Chalco Henan Mianchi Bauxite Mine,7434,7434,BHL2008,BHL2008
Henan,Mianchi,South Diwu (East Hope),,31710,CM Research,CM Research
Henan,Mianchi,East Hope Mianchi County  - Shan County Gaoqiao Villiage Bauxite Mine (Dongfang Xiwang Mianchi County Shan County Gaoqiao Bauxite Mine),8879,8879,BHL2008,BHL2008
Henan,Mianchi,Duancun-Leigou (Chalco Zhongzhou),19030,19488,BHL2008,CM Research - Field Study
Henan,Mianchi,Guanguo,0,6800,,CM Research
Henan,Mianchi,Huangmen,0,15329,,CM Research
Henan,Mianchi,Jiajiawa,15342,15342,Henan Bx Report,Henan Bx Report
Henan,Mianchi,Jiaodi,6693,6693,BHL2008,BHL2008
Henan,Mianchi,Lizhuangzhai,10200,101261.4,"??????????????????, http://www.cgs.gov.cn/xwl/ddyw/201603/t20160309_277361.html","???????????????????, http://ha.news.cn/add/hnnews/2008-07/15/content_13813167.htm, ???????8500???, http://xianhuo.hexun.com/2013-06-02/154763251.html"
Henan,Mianchi,Minchi County Bauxitic Clay Calcination Plant,2057,2057,BHL2008,BHL2008
Henan,Mianchi,Shuiquanwa,31532,50600,BHL2008,CM Research
Henan,Mianchi,Xiangyang,0,3000,BHL2005,BHL2005
Henan,Mianchi,Xiguandiao,326,326,BHL2008,BHL2008
Henan,Mianchi,Yixiang,0,26400,,CM Research
Henan,Mianchi,East Hope Bailang Mine,3431.6,3431.6,"??????????????????????????????????????,??-????, http://www.d1ep.com/hpgg/show.php/itemid-20252/","??????????????????????????????????????,??-????, http://www.d1ep.com/hpgg/show.php/itemid-20252/"
Henan,Mianchi,Wangfen,675.2,675.2,"???????????????:2007-2008, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=114827","???????????????:2007-2008, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=114827"
Henan,Mianchi,Xiaolongmiao Bauxite Mine,20065,20065,"??????????? ??????????? 3??????8??, http://www.henan.gov.cn/jrhn/system/2014/01/21/010447605.shtml","??????????? ??????????? 3??????8??, http://www.henan.gov.cn/jrhn/system/2014/01/21/010447605.shtml"
Henan,Pingdingshan,Liangwa,4490,4490,Henan Bx Report,Henan Bx Report
Henan,Qinyang,CHALCO Zhongzhou Company,1425,1425,BHL2008,BHL2008
Henan,Qinyang,Qinyang City Bojizhang-Hucun Aluminum Clay Mine,5918,5918,BHL2008,BHL2008
Henan,Qinyang,Qinyang City Changping Bauxitic Clay Mine,2987,2987,BHL2008,BHL2008
Henan,Ruyang,Shimengou deposit,0,45,Henan Bx Report,Henan Bx Report
Henan,Ruzhou,Angou,4174,4174,BHL2008,BHL2008
Henan,Ruzhou,Aotou,,86,,Henan Bx report
Henan,Ruzhou,Liwan Bx mine,0,576.3,,http://www.ruzhou.gov.cn/gczxzl/chnl101/54755.htm
Henan,Ruzhou,"Chegou Bauxite Mine (""Chegou"") (""Ruzhou City Chegou Bauxite Mine"")",615,615,BHL2008,BHL2008
Henan,Ruzhou,"Erjie Bauxite Mine (""Jiaocun Township, Ruzhou City Erjie Bauxite Mine"")",539,539,BHL2008,BHL2008
Henan,Ruzhou,Laojuntang deposit,0,469,,Henan Bx report
Henan,Ruzhou,"Shengjiacun Bauxite Mine (""Ruzhou City Shengjiacun Bauxite Mine"")",868,868,BHL2008,BHL2008
Henan,Ruzhou,Xiaoguogou deposit,0,130,,Henan Bx report
Henan,Sanmenxia,Qiligou,13849,13849,Henan Bx report,Henan Bx report
Henan,Sanmenxia,Wazhapo,549,549,Henan Bx report,Henan Bx report
Henan,Shaan,Chaiwa / Jinxi,16582,16582,BHL2008,BHL2008
Henan,Shaan,Dongmaling deposit,73,73,BHL2008,BHL2008
Henan,Shaan,"Duanjiamen Bauxite Mine (""Shan County Duanjiamen Bauxite Mine"")",130,130,BHL2008,BHL2008
Henan,Shaan,Dujiagou summary,3327,3327,Henan Bx report,Henan Bx report
Henan,Shaan,"Gold Industrial Company Bauxite Mine (""Shan County Gold Industrial Company Bauxite Mine"")",3387,3387,BHL2008,BHL2008
Henan,Shaan,"Guanyintang / Nanxie (""Shan County Guanyintang Town Nanxie Village Bauxite Mine"")",1210.6,1210.6,"????????????????, http://fanwen.yjbys.com/pifu/173128.html","????????????????, http://fanwen.yjbys.com/pifu/173128.html"
Henan,Shaan,Jiandihe summary,1068,1068,CM Research,"???????????????, http://www.doc88.com/p-868119946683.html"
Henan,Shaan,"Jinjiang Aotao Mining Co., Ltd. (at Chaiwa Township) (""Shan County Jinjiang Aotao Mining Co., Ltd. (at Chaiwa Township)"")",1565,1565,BHL2008,BHL2008
Henan,Shaan,"Jinpeng (at Chaiwa Township) (""Shan County Jinpeng Ore Product Co., Ltd. (at Chaiwa Township)"")",762,762,BHL2008,BHL2008
Henan,Shaan,Luoyang City Xindi Mining Company,2397,2397,BHL2008,BHL2008
Henan,Shaan,"Shijiazhuang Bauxite Mine (""Shan County Shijiazhuang Bauxite Mine"")",2050,2050,BHL2008,BHL2008
Henan,Shaan,Shishugou deposit,20211,20211,"??????, https://wenku.baidu.com/view/ebc4537ea26925c52cc5bf7a.html","??????, https://wenku.baidu.com/view/ebc4537ea26925c52cc5bf7a.html"
Henan,Shaan,Tielugou deposit,50,50,Henan Bx report,Henan Bx report
Henan,Shaan,Wachapo / Wazhapo summary,549,549,BHL2008,BHL2008
Henan,Shaan,"Xiangcaowa Bauxite Mine (""CHALCO Mining Company Shan County Xiangcaowa Bauxite Mine"")",1461,1461,BHL2008,BHL2008
Henan,Shaan,"Xingfa 1st Bauxite Mine (""Minchi County Xingfa Ore Product Co., Ltd.1st Bauxite Mine"")",224,224,BHL2008,BHL2008
Henan,Shaan,Yangzhuang summary,3060,3060,Henan Bx report,Henan Bx report
Henan,Shaan,Zhijian,23566,23566,"?????????????????, http://www.dalilvcai.com/teach/show.php?itemid-492.html","?????????????????, http://www.dalilvcai.com/teach/show.php?itemid-492.html"
Henan,Xin'an,"Dengfeng City Yingxing Coal Co., Ltd.",543,543,BHL2008,BHL2008
Henan,Xin'an,Jiagou summary,22554,39296,"???????, http://www.360doc.com/content/12/1217/10/14148_254522425.shtml",CM Research
Henan,Xin'an,Maxinggou summary,24683.3,24683.3,CM Research,CM Research
Henan,Xin'an,Shisi / Zhishe summary,24400,229000,"????????-?????????????????????, http://www.hnysdk.org.cn/html/bzby/zhaokuangyeji/2016/0710/417.html","???????, http://www.360doc.com/content/12/1217/10/14148_254522425.shtml"
Henan,Xin'an,Yushan summary,23627.9,49110,"??????????? ??????????? 3??????8??, http://www.henan.gov.cn/jrhn/system/2014/01/21/010447605.shtml",
Henan,Xin'an,Zhangyaoyuan Bx Mine,31112.5,31112.5,"2010 resource reserve 31.1125 mlnt, data from the geological report thru FS","2010 resource reserve 31.1125 mlnt, data from the geological report thru FS"
Henan,Xin'an,Zhuyuan-Kuangkou summary,31854,53440,BHL2008,CM Research
Henan,Xingyang,Fengzhuang summary,4613,4783.6,Henan Bx Report,Henan Bx Report
Henan,Xingyang,Cuimiao-Cuizhuang,,23304.8,,"???????8500???, http://xianhuo.hexun.com/2013-06-02/154763251.html"
Henan,Xingyang,not allocated by mine,17503,0,"????-???????, http://www.xingyang.gov.cn/sitesources/xyszf/page_pc//zrzy/article232c7f96f3e645268b9fc8f98e59bf3a.html","????-???????, http://www.xingyang.gov.cn/sitesources/xyszf/page_pc//zrzy/article232c7f96f3e645268b9fc8f98e59bf3a.html"
Henan,Xinmi,Chaohua deposit,0,11,,Henan Bx Report
Henan,Xinmi,Chengnangang,,9190,CM Research,CM Research
Henan,Xinmi,Chuling summary,1794,12036,BHL2008,CM Research
Henan,Xinmi,"Guojiamen Bauxite Mine (""Xinmi City Longran Coal Transport and Sales Co., Ltd. Guojiamen Bauxite Mine"")",8,8,BHL2008,BHL2008
Henan,Xinmi,"Guozhan Clay Mine (""Xinmi City Guozhan Clay Mine"")",24,24,BHL2008,BHL2008
Henan,Xinmi,Kaiyang deposit,3633,3633,CM Research,CM Research
Henan,Xinmi,"Liulougou Bauxite Mine (""Xinmi City Liujiagou Bauxite Mine"")",12094,12094,BHL2008,BHL2008
Henan,Xinmi,Paifanggou deposit,37,37,Henan Bx Report,Henan Bx Report
Henan,Xinmi,Pingmo summary,5064,5064,BHL2008,BHL2008
Henan,Xinmi,Wangzhuang deposit,,20,,Henan Bx Report
Henan,Xinmi,Yangshugang deposit,16,16,Henan Bx Report,Henan Bx Report
Henan,Xinmi,Yangtai Bx Mine,16230,16230,"???????????????, http://www.doc88.com/p-868119946683.html","???????????????, http://www.doc88.com/p-868119946683.html"
Henan,Xinmi,"Yong'an Bauxitic Clay Mine (""Xinmi City Yong'an Bauxitic Clay Mine"")",255,255,BHL2008,BHL2008
Henan,Xinmi,Yuecun summary,955,9970,BHL2008,CM Research
Henan,Xinmi,"Yulong Mining Co., Ltd. (""Xinmi City Yulong Mining Co., Ltd."")",669,669,BHL2008,BHL2008
Henan,Xinmi,Zhangjiapo deposit,0,16,,Henen BX report deposit list
Henan,Xinmi,"Zhenzhou Jinfeng Bauxitic Clay Co., Ltd.",1267,1267,BHL2008,BHL2008
Henan,Xinmi,"Zhenzhou Santian Industrial Co., Ltd. Mining Company",905,905,BHL2008,BHL2008
Henan,Yanshi,Candian deposit,20869,20869,Henan Bx Report,Henan Bx Report
Henan,Yanshi,Fudian deposit,0,1193,Henan Bx Report,Henan Bx Report
Henan,Yanshi,Jiagou summary,13360,17808,"???????, http://www.360doc.com/content/12/1217/10/14148_254522425.shtml",CM Research
Henan,Yanshi,Jiaocun Bx Mine,12960,12960,Henan Bx Report,Henan Bx Report
Henan,Yanshi,"Jiazhuangpo Bauxite Mine (""Yanshi City Jiazhuangpo Bauxite Mine"")",2305,2305,BHL2008,BHL2008
Henan,Yanshi,Luoyang Xiangjiang Wanji Aluminum Yanshi City Xiaxuma-Zhucun Bauxite Mine,1370.652174,1370.652174,"????????? — ?? ????????????, https://wapwenku.baidu.com/view/f0cf92cd360cba1aa811dad2?pu=","????????? — ?? ????????????, https://wapwenku.baidu.com/view/f0cf92cd360cba1aa811dad2?pu="
Henan,Yanshi,Xizhai deposit,7472,7472,Henan Bx Report,Henan Bx Report
Henan,Yanshi,Luoyang City Yanshi County Yanlong Coal Deposit Deep Section (Luoyang Part) Bauxite (Clay) Reconnaissance,0,115000,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document
Henan,Yichuan,Guogou (Yichuan County Guogou Bauxite Mine),755,755,BHL2008,BHL2008
Henan,Yiyang,"Jinpinshan Bauxite Mine (""Yiyang County Jinpinshan Bauxite Mine"")",2256,2256,BHL2008,BHL2008
Henan,Yuzhou,Bacun Village,,12600,CM Research,CM Research
Henan,Yuzhou,Changzhuang summary,3812,3812,"???????????????, http://www.doc88.com/p-868119946683.html","???????????????, http://www.doc88.com/p-868119946683.html"
Henan,Yuzhou,Fangshan summary,5143,5143,Henan Bx Report,Henan Bx Report
Henan,Yuzhou,"Fangxi  Bauxitic Clay Mine (""Yuzhou City Fangshan Town Fangxi  Bauxitic Clay Mine"")",21,21,BHL2008,BHL2008
Henan,Yuzhou,Hongchang summary,2225,2225,BHL2008,BHL2008
Henan,Yuzhou,"Hongyun Trade Company Bauxitic Clay Mine (""Yuzhou City Hongyun Trade Company Bauxitic Clay Mine"")",42,42,BHL2008,BHL2008
Henan,Yuzhou,"Lilin Bauxite Mine (""Yuzhou City Fangshan Town Lilin Bauxite Mine"")",19,19,BHL2008,BHL2008
Henan,Yuzhou,"Liuligou Construction Bauxite Mine (""Yuzhou City Fangshan Town Liuligou Construction Bauxite Mine"")",63,63,BHL2008,BHL2008
Henan,Yuzhou,Pacun deposit,12613,12613,Henan Bx Report,Henan Bx Report
Henan,Yuzhou,"Sanguzhen Joint Bauxite Mine (""Yuzhou City Fangshan Town Sanguzhen Joint Bauxite Mine"")",392,392,BHL2008,BHL2008
Henan,Yuzhou,"Xiangtan Village Bauxite Mine (""Yuzhou City Fangshan Town Xiangtan Village Bauxite Mine"")",58,58,BHL2008,BHL2008
Henan,Yuzhou,"Yindongshan Bauxite Mine (""Yuzhou City Yindongshan Bauxite Mine"")",431,431,BHL2008,BHL2008
Henan,Yuzhou,Youzhou Mojie,,20000,,
Henan,Yuzhou,Zhongzhou Industrial Development Company,1240,1240,BHL2008,BHL2008
Hubei,Yicheng,Xishan,44425.4,44425.4,"???????????????????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=32335","???????????????????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=32335"
Hunan,Chenxi,Dafutan,4815,4815,CM Research,CM Research
Inner Mongolia,Qingshuihe,"East Zhunger, West Qingshuihe",0,8000,CM Research,CM Research
Jiangxi,Jiangxi,,0,8000,BHL2008,BHL2008
Liaoning,Liaoning,,0,8000,BHL2008,BHL2008
Shandong,Tai'an,Ningayng,3615,3615,CM Research,CM Research
Shandong,Zhangqiu,Mingshui-Lujiazhuang,6045,6045,CM Research,CM Research
